씨	단어
2017년	선호하다
2018년	임신한
2019년	준비
2020년	준비하다
2021년	준비된
2022년	있음
2023년	현재
2024년	프레젠테이션
2025년	보존하다
2026년	대통령
2027년	누르다
2028년	압력
2029년	~인 척하다
2030년	예쁜
2031년	예방하다
2032년	이전
2033년	이전에
2034년	가격
2035년	성직자
2036년	일 순위
2037년	초기
2038년	왕자
2039년	공주님
2040년	원칙
2041년	인쇄
2042년	인쇄기
2043년	인쇄
2044년	우선 순위
2045년	감옥
2046년	죄인
2047년	은둔
2048년	사적인
2049년	상
2050년	아마
2051년	문제
2052년	절차
2053년	프로세스
2054년	생산하다
2055년	생산자
2056년	제품
2057년	생산
2058년	직업
2059년	직업적인
2060년	교수
2061년	프로필
2062년	이익
2063년	프로그램
2064년	프로그램
2065년	진전
2066년	프로젝트
2067년	약속하다
2068년	홍보하다
2069년	발음하다
2070년	증거
2071	적절한
2072	제대로
2073	재산
2074	제안
2075년	제안하다
2076년	전망
2077	보호하다
2078	보호
2079	항의
2080년	자랑스러운
2081	입증하다
2082	제공하다
2083년	심리학자
2084	심리학
2085년	선술집
2086년	공공의
2087	출판
2088	출판하다
2089	당기다
2090년	벌하다
2091년	처벌
2092년	학생
2093년	구입
2094년	순수한
2095년	자주색
2096년	목적
2097년	추구하다
2098년	푸시
2099년	놓다
2100년	자격
2101	자격 있는
2102	자격을 갖추다
2103	품질
2104	수량
2105년	4분의 1
2106	퀸
2107년	의문
2108년	대기줄
2109년	빠른
2110년	빠르게
2111	조용한
2112	조용히
2113	그만두다
2114	상당히
2115년	인용
2116	인용하다
2117	경주(경쟁)
2118	인종(사람)
2119	경마
2120년	라디오
2121	철도
2122	비
2123	들어올리다
2124	범위
2125년	계급
2126	빠른
2127	급속히
2128	희귀한
2129	드물게
2130	비율
2131	꽤
2132	날것의
2133	도달하다
2134	반응하다
2135	반응
2136	읽다
2137	리더
2138	독서
2139	준비가 된
2140	진짜
2141	실감나는
2142	현실
2143	깨닫다
2144	진짜
2145년	이유
2146	합리적인
2147	상기하다
2148	영수증
2149	받다
2150	최근의
2151	최근에
2152	리셉션
2153	레시피
2154	인정하다
2155	추천하다
2156	추천
2157	기록
2158	녹음
2159	다시 덮다
2160	재활용
2161	빨간색
2162	줄이다
2163	절감
2164	나타내다
2165	참조
2166	반영하다
2167	거절하다1
2168	관심
2169	지역
2170	지역
2171	등록하다
2172	유감
2173	정기적인
2174	정기적으로
2175	규제
2176	거부하다
2177	말하다
2178	관련된
2179	관계
2180	관계
2181	상대적인
2182	비교적
2183	안심하다
2184	편안한
2185	편안한
2186	풀어 주다
2187	관련 있는
2188	믿을 수 있는
2189	안도
2190	종교
2191	종교적인
2192	의존하다
2193	남아있다
2194	주목
2195년	기억하다
2196	상기시키다
2197	원격
2198	제거하다
2199	임차료
2200	수리하다
2201	반복하다
2202	반복
2203	바꾸다
2204	댓글
2205년	보고서
2206년	보고자
2207	대표하다
2208년	대표
2209년	평판
2210년	요구
2211	필요하다
2212	요구 사항
2213	구조하다
2214	연구
2215년	연구원
2216	예약
2217	예약하다
2218년	거주자
2219	저항하다
2220년	해결하다
2221	의지
2222	자원
2223	존경
2224	대답하다
2225	응답
2226	책임
2227	책임이 있는
2228	나머지 (나머지 부분)
2229	휴식 (수면/휴식)
2230	레스토랑
2231	결과
2232	유지하다
2233	은퇴하다
2234	은퇴
2235	반품
2236	드러내다
2237	검토
2238	개정하다
2239	혁명
2240	보상
2241	율
2242	쌀
2243	부자
2244	제거하다
2245	타다
2246	오른쪽
2247	반지1
2248	링2
2249	증가
2250	위험
2251	강
2252	도로
2253	로봇
2254	바위 (돌)
2255	록 음악)
2256	역할
2257	롤
2258	로맨틱
2259	지붕
2260	방
2261	뿌리
2262	로프
2263	거친
2264	둥근
2265	노선
2266	루틴
2267	행 1
2268	왕실의
2269	장애
2270	고무
2271	쓰레기
2272	무례한
2273	럭비
2274	규칙
2275	운영
2276	달리는 사람
2277	달리기
2278	시골의
2279	서두르다
2280	슬퍼
2281	슬프게도
2282	안전한
2283	안전
2284	돛
2285	항해
2286	선원
2287	샐러드
2288	샐러리
2289	판매
2290	소금
2291	같은
2292	견본
2293	모래
2294	샌드위치
2295	위성
2296	만족하는
2297	풀다
2298	토요일
2299	소스
2300	저장
2301	절약
2302	말하다
2303	규모
2304	주사
2305	무서운
2306	무서운
2307	장면
2308	일정
2309	계획
2310	학교
2311	과학
2312	과학적
2313	과학자
2314	점수
2315	비명
2316	화면
2317	스크립트
2318	조각품
2319	바다
2320년	검색
2321	계절
2322	좌석
2323	second1(첫 번째 이후의 다음)
2324	초1(시간 단위)
2325	중고등 학년
2326	둘째
2327	비밀
2328	비서
2329	부분
2330	부문
2331	안전한
2332	보안
2333	보다
2334	씨앗
2335	찾다. 목표물 탐색
2336	~인 것 같다
2337	고르다
2338	선택
2339	본인
2340	팔다
2341	보내다
2342	상위
2343	감각
2344	현명한
2345	예민한
2346	문장
2347	분리된
2348	구월
2349	순서
2350	시리즈
2351	심각한
2352	진지하게
2353	하인
2354	제공하다
2355	서비스
2356	세션
2357	설정하다
2358	세트(그룹)
2359	환경
2360	해결하다
2361	일곱
2362	열일곱
2363	칠십
2364	몇몇의
2365	중증
2366	섹스
2367	성적
2368	그늘
2369	그림자
2370	떨림
2371	~일 것이다
2372	얕은
2373	창피
2374	모양
2375	공유하다
2376	날카로운
2377	그녀
2378	양
2379	시트
2380	선반
2381	껍데기
2382	대피소
2383	옮기다
2384	빛나는
2385	빛나는
2386	배
2387	셔츠
2388	충격
2389	충격
2390	구두
2391	사격
2392	촬영
2393	가게
2394	쇼핑
2395	짧은
2396	발사
2397	~해야 한다
2398	어깨
2399	외침
2400	보여 주다
2401	샤워
2402	닫다
2403	수줍은
2404	아픈
2405	옆
2406	시력
2407	징후
2408	신호
2409	중요한
2410	상당히
2411	고요
2412	조용한
2413	실크
2414	바보 같은
2415	은
2416	비슷한
2417	유사성
2418	비슷하게
2419	단순한
2420년	간단히
2421	~부터
2422	진실된
2423	노래
2424	가수
2425	명음
2426	하나의
2427	싱크대
2428	선생님
2429	자매
2430	앉다
2431	대지
2432	상황
2433	여섯
2434	열여섯
2435	육십
2436	크기
2437	스키
2438	스키 타기
2439	기술
2440	피부
2441	치마
2442	하늘
2443	노예
2444	잠
2445	일부분
2446	미끄러지 다
2447	근소한
2448	약간
2449	슬립
2450	경사
2451	느린
2452	느리게
2453	작은
2454	똑똑한
2455	스마트 폰
2456	냄새
2457	웃다
2458	연기
2459	흡연
2460	매끄러운
2461	뱀
2462	눈
2463	그래서
2464	비누
2465	축구
2466	사회의
2467	사회
2468	양말
2469	부드러운
2470	소프트웨어
2471	토양
2472	태양
2473	군인
2474	단단한
2475	해결책
2476	해결하다
2477	약간
2478	어떤 사람
2479	누구
2480	무엇
2481	때때로
2482	약간
2483	어딘가에
2484	아들
2485	노래
2486	곧
2487	죄송합니다
2488	종류
2489	영혼
2490	소리
2491	수프
2492	원천
2493	남쪽
2494	남부 지방 사투리
2495	우주
2496	말하다
2497	스피커
2498	특별한
2499	전문가
2500	종
2501	특정한
2502	구체적으로
2503	연설
2504	속도
2505년	주문
2506	철자
2507	경비
2508	지출
2509	매운
2510	거미
2511	영혼
2512	영적인
2513	나뉘다
2514	말한
2515	스폰서
2516	숟가락
2517	스포츠
2518	점
2519	확산
2520년	봄
2521	정사각형
2522	안정적인
2523	경기장
2524	직원
2525	단계
2526	계단
2527	우표
2528	서다
2529	기준
2530	별
2531	응시
2532	시작
2533	상태
2534	성명
2535	역
2536	통계량
2537	동상
2538	상태
2539	머무르다
2540	꾸준한
2541	훔치다
2542	강철
2543	험한
2544	단계
2545	붙이다 (밀다/부착하다)
2546	막대기 (나무 조각)
2547	어려운
2548	뻣뻣한
2549	아직
2550	스톡
2551	위
2552	결석
2553	멈추다
2554	가게
2555	폭풍
2556	이야기
2557	똑바로
2558	이상한
2559	낯선 사람
2560	전략
2561	개울
2562	거리
2563	힘
2564	스트레스
2565	뻗기
2566	엄격한
2567	스트라이크
2568	끈
2569	강한
2570	강하게
2571	구조
2572	고심하다
2573	학생
2574	사진관
2575	공부하다
2576	물건
2577	멍청한
2578	스타일
2579	주제
2580	제출하다
2581	물질
2582	성공하다
2583	성공
2584	성공적인
2585	성공적으로
2586	그런
2587	갑자기
2588	갑자기
2589	시달리다
2590	설탕
2591	제안하다
2592	제안
2593	정장
2594	적합한
2595	합집합
2596	요약하다
2597	요약
2598	여름
2599	태양
2600	일요일
2601	슈퍼마켓
2602	공급
2603	지원하다
2604	서포터
2605	가정하다
2606	확실한
2607	확실히
2608	표면
2609	수술
2610	놀라다
2611	놀란
2612	놀라운
2613	둘러 싸다
2614	주변
2615	조사
2616	생존하다
2617	의심하다
2618	욕을 하다
2619	스웨터
2620	스위프
2621	달콤한
2622	수영
2623	수영
2624	스위치
2625	상징
2626	공감
2627	징후
2628	체계
2629	테이블
2630	태블릿
2631	꼬리
2632	가져가다
2633	이야기
2634	재능
2635	재간 있는
2636	말하다
2637	키가 큰
2638	탱크
2639	줄자
2640	표적
2641	직무
2642	맛
2643	세
2644	택시
2645	차
2646	가르치다
2647	선생님
2648	가르치는
2649	팀
2650	눈물1
2651	눈물2
2652	전문인
2653	기술
2654	기술
2655	십대
2656	십대
2657	전화
2658	텔레비전
2659	말하다
2660	온도
2661	일시적인
2662	십
2663	추세
2664	테니스
2665	텐트
2666	기간
2667	끔찍한
2668	테스트
2669	텍스트
2670	~보다
2671	감사하다
2672	감사해요
2673	저것
2674	그만큼
2675	극장
2676	그들의
2677	그들의 것
2678	그들을
2679	주제
2680	그들 자신
2681	그 다음에
2682	이론
2683	요법
2684	거기
2685	그러므로
2686	그들
2687	두꺼운
2688	도둑
2689	얇은
2690	물건
2691	생각한다
2692	생각
2693	제삼
2694	목마른
2695	열셋
2696	서른
2697	이것
2698	그렇지만
2699	생각
2700	천
2701	위협
2702	위협하다
2703	삼
2704	목
2705	~을 통해
2706	전역
2707	던지다
2708	목요일
2709	이와 같이
2710	티켓
2711	깔끔한
2712	묶다
2713	단단한
2714	까지
2715	시각
2716	주석
2717	매우 작은
2718	팁
2719	피곤한
2720	제목
2721	에게
2722	오늘
2723	발가락
2724	함께
2725	화장실
2726	토마토
2727	내일
2728	음정
2729	혀
2730	오늘 밤
2731	~도
2732	도구
2733	이빨
2734	맨 위
2735	주제
2736	총
2737	완전히
2738	접촉
2739	힘든
2740	관광
2741	관광 여행
2742	관광객
2743	...쪽으로
2744	수건
2745	탑
2746	도시
2747	장난감
2748	길
2749	거래
2750	전통
2751	전통적인
2752	교통
2753	기차
2754	훈련자
2755	훈련
2756	옮기다
2757	변환
2758	이행
2759	번역하다
2760	번역
2761	수송
2762	여행하다
2763	여행자
2764	치료하다
2765	치료
2766	나무
2767	경향
2768	재판
2769	장난
2770	여행
2771	열렬한
2772	문제
2773	바지
2774	트럭
2775	진실
2776	진심으로
2777	신뢰하다
2778	진실
2779	노력하다
2780	티셔츠
2781	튜브
2782	화요일
2783	곡조
2784	터널
2785	회전하다
2786	TV
2787	열 두번째
2788	이십
2789	두 배
2790	쌍
2791	둘
2792	유형
2793	전형적인
2794	일반적으로
2795	타이어
2796	못생긴
2797	궁극적으로
2798	우산
2799	할 수 없는
2800	삼촌
2801	불편한
2802	무의식
2803	아래에
2804	지하철
2805	이해하다
2806	이해
2807	속옷
2808	한가한
2809	실업
2810	예기치 않은
2811	불공정
2812	안타깝게도
2813	불행한
2814	제복
2815	노동 조합
2816	독특한
2817	단위
2818	연합
2819	우주
2820	대학교
2821	알려지지 않은
2822	~하지 않는 한
2823	같지 않은
2824	~할 것 같지 않은
2825	불필요한
2826	불쾌한
2827	~까지
2828	특이한
2829	위로
2830	업데이트
2831	...에
2832	높은
2833	속상한
2834	높은 곳에 있는
2835	위로 향하여
2836	도시의
2837	충고하다
2838	우리를
2839	사용
2840	사용된
2841	사용
2842	유용한
2843	사용자
2844	보통의
2845	대개
2846	휴가
2847	골짜기
2848	귀중한
2849	값
2850	봉고차
2851	다양성
2852	여러
2853	달라지다
2854	대단한
2855	채소
2856	차량
2857	개최지
2858	버전
2859	매우
2860	~을 통해
2861	피해자
2862	승리
2863	동영상
2864	보다
2865	뷰어
2866	마을
2867	폭행
2868	폭력적인
2869	가상
2870	바이러스
2871	전망
2872	방문
2873	방문객
2874	비주얼
2875	필수적인
2876	비타민
2877	목소리
2878	용량
2879	자원 봉사자
2880	투표
2881	값
2882	기다리다
2883	웨이터
2884	일어나 다
2885	걷다
2886	벽
2887	원하다
2888	전쟁
2889	따뜻한
2890	경고하다
2891	경고
2892	씻다
2893	세탁
2894	쓰레기
2895	보다
2896	물
2897	파도
2898	방법
2899	우리
2900	약한
2901	약점
2902	재산
2903	풍부한
2904	무기
2905	입다
2906	날씨
2907	편물
2908	웹사이트
2909	혼례
2910	수요일
2911	주
2912	주말
2913	달다
2914	무게
2915	환영하다
2916	잘
2917	서쪽
2918	서부 사람
2919	젖은
2920	무엇
2921	무엇이든
2922	바퀴
2923	언제
2924	언제든지
2925	어디
2926	반면
2927	대체 어디에
2928	~이든
2929	어느
2930	동안
2931	속삭임
2932	하얀
2933	누구
2934	전부의
2935	누구
2936	누구의
2937	왜
2938	넓은
2939	넓게
2940	부인
2941	야생의
2942	야생 동물
2943	~ 할 것이다
2944	자발적인
2945	이기다
2946	바람1
2947	바람2
2948	창문
2949	와인
2950년	날개
2951	우승자
2952	겨울
2953	철사
2954	지혜로운
2955년	소망
2956	~와 함께
2957	이내에
2958	없이
2959	증인
2960년	여성
2961	궁금하다
2962	아주 멋진
2963	목재
2964	활기 없는
2965년	양모
2966	단어
2967	일하다
2968	노동자
2969	일하고 있는
2970	세계
2971	세계적인
2972	걱정하는
2973	걱정하다
2974	더 나쁜
2975	가장 나쁜
2976	가치
2977	~일 것이다
2978	상처
2979	와
2980년	포장하다
2981	쓰다
2982	작가
2983	글쓰기
2984	쓴
2985	잘못된
2986	마당
2987	응
2988	년도
2989	노란색
2990년	예
2991	어제
2992	아직
2993	너
2994년	어린
2995년	당신의
2996년	당신 것
2997	당신 자신
2998년	청소년
2999	영
3000	존
