старший	Слова
1949 г.	план
1950 г.	самолет
1951 г.	планета
1952 г.	планирование
1953 г.	завод
1954 г.	пластик
1955 г.	пластина
1956 г.	Платформа
1957 г.	играть в
1958 г.	игрок
1959 г.	приятный
1960 г.	пожалуйста
1961 г.	довольный
1962 г.	удовольствие
1963 г.	множество
1964 г.	участок
1965 г.	плюс1
1966 г.	карман
1967 г.	стих
1968 г.	поэт
1969 г.	поэзия
1970 г.	точка
1971 г.	указал
1972 г.	яд
1973 г.	ядовитый
1974 г.	полиция
1975 г.	полицейский
1976 г.	политика
1977 г.	вежливый
1978 г.	политический
1979 г.	политик
1980 г.	политика
1981 г.	загрязнение
1982 г.	бассейн
1983 г.	бедный
1984 г.	поп
1985 г.	популярный
1986 г.	популярность
1987 г.	Население
1988 г.	порт
1989 г.	портрет
1990 г.	поза
1991 г.	должность
1992 г.	положительный
1993 г.	владеть
1994 г.	владение
1995 г.	возможность
1996 г.	возможный
1997 г.	возможно
1998 г.	почта
1999 г.	плакат
2000 г.	горшок
2001 г.	картошка
2002 г.	потенциал
2003 г.	фунт
2004 г.	налить
2005 г.	бедность
2006 г.	пудра
2007 г.	сила
2008 г.	мощный
2009 г.	практичный
2010	упражняться
2011	упражняться
2012	хвалить
2013	молиться
2014	молитва
2015	предсказывать
2016	прогноз
2017	предпочитать
2018	беременная
2019	подготовка
2020	подготовить
2021	готовый
2022	присутствие
2023	подарок
2024	презентация
2025	сохранять
2026	президент
2027	Нажмите
2028	давление
2029	притворяться
2030	Симпатичная
2031	предотвращать
2032	предыдущий
2033	ранее
2034	цена
2035	священник
2036	начальный
2037	основной
2038	принц
2039	принцесса
2040	принцип
2041	Распечатать
2042	принтер
2043	печать
2044	приоритет
2045	тюрьма
2046	заключенный
2047	Конфиденциальность
2048	частный
2049	приз
2050	вероятно
2051	проблема
2052	процедура
2053	процесс
2054	производить
2055	режиссер
2056	товар
2057	производство
2058	профессия
2059	профессиональный
2060	профессор
2061	профиль
2062	выгода
2063	программа
2064	программа
2065	прогресс
2066	проект
2067	обещать
2068	продвигать
2069	произносить
2070	доказательство
2071	правильный
2072	правильно
2073	имущество
2074	предложение
2075	предлагать
2076	перспектива
2077	защищать
2078	защита
2079	протест
2080	гордый
2081	доказывать
2082	предоставлять
2083	психолог
2084	психология
2085	паб
2086	общественный
2087	публикация
2088	публиковать
2089	тянуть
2090	наказывать
2091	наказание
2092	ученица
2093	покупка
2094	чистый
2095	пурпурный
2096	цель
2097	преследовать
2098	толкать
2099	помещать
2100	квалификация
2101	квалифицированный
2102	квалифицировать
2103	качественный
2104	количество
2105	четверть
2106	Королева
2107	вопрос
2108	очередь
2109	быстрый
2110	быстро
2111	тихо
2112	тихо
2113	покидать
2114	довольно
2115	цитата
2116	цитировать
2117	гонка (соревнование)
2118	раса (люди)
2119	гонки
2120	радио
2121	Железнодорожный
2122	дождь
2123	поднимать
2124	диапазон
2125	классифицировать
2126	стремительный
2127	быстро
2128	редкий
2129	редко
2130	оценивать
2131	скорее
2132	сырой
2133	достигать
2134	реагировать
2135	реакция
2136	читать
2137	читатель
2138	чтение
2139	готовы
2140	настоящий
2141	реалистичный
2142	реальность
2143	понимать
2144	В самом деле
2145	причина
2146	разумный
2147	отзывать
2148	чек
2149	Получать
2150	недавний
2151	совсем недавно
2152	прием
2153	рецепт
2154	распознавать
2155	рекомендовать
2156	рекомендация
2157	записывать
2158	запись
2159	восстанавливаться
2160	перерабатывать
2161	красный
2162	уменьшать
2163	снижение
2164	ссылаться
2165	ссылка
2166	отражать
2167	отказ1
2168	внимание
2169	область, край
2170	региональный
2171	регистр
2172	сожалеть
2173	обычный
2174	регулярно
2175	регулирование
2176	отклонять
2177	относятся
2178	связанные с
2179	связь
2180	отношение
2181	родственник
2182	относительно
2183	расслабляться
2184	расслабленный
2185	расслабляющий
2186	выпускать
2187	актуальны
2188	надежный
2189	рельеф
2190	религия
2191	религиозный
2192	полагаться
2193	оставаться
2194	замечание
2195	запомнить
2196	напоминать
2197	удаленный
2198	удалять
2199	арендовать
2200	ремонт
2201	повторение
2202	повторный
2203	заменять
2204	Ответить
2205	отчет
2206	репортер
2207	представлять
2208	представитель
2209	репутация
2210	запрос
2211	требовать
2212	требование
2213	спасать
2214	исследовательская работа
2215	Исследователь
2216	бронирование
2217	резерв
2218	житель
2219	сопротивляться
2220	решать
2221	прибегнуть
2222	ресурс
2223	уважать
2224	реагировать
2225	отклик
2226	обязанность
2227	ответственный
2228	остальное (оставшаяся часть)
2229	отдых (сон/расслабление)
2230	ресторан
2231	результат
2232	удерживать
2233	выходить на пенсию
2234	на пенсии
2235	возвращаться
2236	показывать
2237	обзор
2238	исправлять
2239	революция
2240	награда
2241	ритм
2242	рис
2243	богатый
2244	избавлять
2245	поездка
2246	Правильно
2247	кольцо1
2248	кольцо2
2249	подниматься
2250	риск
2251	река
2252	Дорога
2253	робот
2254	скала (камень)
2255	рок музыка)
2256	роль
2257	рулон
2258	романтик
2259	крыша
2260	номер
2261	корень
2262	веревка
2263	грубый
2264	круглый
2265	маршрут
2266	рутина
2267	ряд1
2268	королевский
2269	натирать
2270	резина
2271	мусор
2272	грубый
2273	регби
2274	правило
2275	бежать
2276	бегун
2277	Бег
2278	деревенский
2279	порыв
2280	грустный
2281	грустно
2282	Безопасно
2283	безопасность
2284	плыть
2285	парусный спорт
2286	матрос
2287	салат
2288	зарплата
2289	распродажа
2290	соль
2291	такой же
2292	образец
2293	песок
2294	бутерброд
2295	спутник
2296	доволен
2297	удовлетворить
2298	Суббота
2299	соус
2300	спасти
2301	сохранение
2302	сказать
2303	шкала
2304	сканирование
2305	напугана
2306	страшный
2307	сцена
2308	расписание
2309	схема
2310	школа
2311	наука
2312	научный
2313	ученый
2314	счет
2315	крик
2316	экран
2317	сценарий
2318	скульптура
2319	море
2320	поиск
2321	время года
2322	сиденье
2323	второй1 (следующий после первого)
2324	секунда1 (единица времени)
2325	вторичный
2326	во-вторых
2327	секрет
2328	секретарь
2329	раздел
2330	сектор
2331	безопасный
2332	безопасность
2333	видеть
2334	семя
2335	стремиться
2336	казаться
2337	Выбрать
2338	выбор
2339	себя
2340	продавать
2341	Отправить
2342	старший
2343	смысл
2344	разумный
2345	чувствительный
2346	приговор
2347	отдельный
2348	Сентябрь
2349	последовательность
2350	серии
2351	серьезный
2352	серьезно
2353	слуга
2354	обслуживать
2355	оказание услуг
2356	сеанс
2357	ставить (ставить)
2358	набор (группа)
2359	параметр
2360	решить
2361	Семь
2362	семнадцать
2363	семьдесят
2364	несколько
2365	тяжелый
2366	секс
2367	сексуальный
2368	оттенок
2369	тень
2370	встряхнуть
2371	должен
2372	мелкий
2373	стыд
2374	форма
2375	Поделиться
2376	острый
2377	она
2378	овец
2379	лист
2380	полка
2381	оболочка
2382	приют
2383	сдвиг
2384	светить
2385	блестящий
2386	судно
2387	Рубашка
2388	шок
2389	потрясенный
2390	обувь
2391	стрелять
2392	стрельба
2393	магазин
2394	поход по магазинам
2395	короткая
2396	выстрелил
2397	должен
2398	плечо
2399	кричать
2400	показывать
2401	душ
2402	закрыть
2403	застенчивый
2404	больной
2405	сторона
2406	зрение
2407	знак
2408	сигнал
2409	значительный
2410	существенно
2411	тишина
2412	тихий
2413	шелк
2414	глупый
2415	Серебряный
2416	похожий
2417	сходство
2418	по аналогии
2419	просто
2420	просто
2421	поскольку
2422	искренний
2423	петь
2424	певец
2425	пение
2426	не замужем
2427	раковина
2428	сэр
2429	сестра
2430	сидеть
2431	сайт
2432	ситуация
2433	шесть
2434	шестнадцать
2435	шестьдесят
2436	размер
2437	лыжи
2438	катание на лыжах
2439	навык
2440	кожа
2441	юбка
2442	небо
2443	раб
2444	спать
2445	ломтик
2446	горка
2447	незначительный
2448	немного
2449	соскальзывать
2450	склон
2451	медленный
2452	медленно
2453	маленький
2454	умная
2455	смартфон
2456	запах
2457	улыбка
2458	дым
2459	курение
2460	гладкий; плавный
2461	змея
2462	снег
2463	так
2464	мыло
2465	футбольный
2466	Социальное
2467	общество
2468	носок
2469	мягкий
2470	программного обеспечения
2471	почвы
2472	солнечный
2473	солдат
2474	твердый
2475	решение
2476	решать
2477	немного
2478	кто-то
2479	кто то
2480	что-нибудь
2481	иногда
2482	в некотором роде
2483	где-то
2484	сын
2485	песня
2486	скоро
2487	Извините
2488	Сортировать
2489	душа
2490	звук
2491	суп
2492	источник
2493	юг
2494	южный
2495	пространство
2496	говорить
2497	оратор
2498	специальный
2499	специалист
2500	разновидность
2501	специфический
2502	конкретно
2503	речь
2504	скорость
2505	орфографии
2506	написание
2507	проводить
2508	расходы
2509	пряный
2510	паук
2511	дух
2512	духовный
2513	расколоть
2514	разговорный
2515	спонсор
2516	ложка
2517	спорт
2518	место
2519	распространять
2520	весна
2521	площадь
2522	стабильный
2523	стадион
2524	сотрудники
2525	сцена
2526	лестница
2527	печать
2528	стоять
2529	стандартный
2530	звезда
2531	глазеть
2532	Начало
2533	государство
2534	утверждение
2535	станция
2536	статистика
2537	статуя
2538	статус
2539	остаться
2540	устойчивый
2541	воровать
2542	стали
2543	отвесный
2544	шаг
2545	втыкать (вставлять/прикреплять)
2546	палка (кусок дерева)
2547	липкий
2548	жесткий
2549	Все еще
2550	запас
2551	желудок
2552	камень
2553	остановка
2554	хранить
2555	буря
2556	история
2557	прямой
2558	странный
2559	незнакомец
2560	стратегия
2561	ручей
2562	улица
2563	прочность
2564	стресс
2565	протяжение
2566	строгий
2567	забастовка
2568	нить
2569	сильный
2570	сильно
2571	структура
2572	борьба
2573	ученик
2574	студия
2575	исследование
2576	вещи
2577	глупый
2578	стиль
2579	предмет
2580	Разместить
2581	вещество
2582	преуспеть
2583	успех
2584	успешный
2585	успешно
2586	такой
2587	внезапный
2588	вдруг, внезапно
2589	страдать
2590	сахар
2591	предложить
2592	предложение
2593	подходить
2594	подходящее
2595	сумма
2596	подвести итог
2597	резюме
2598	лето
2599	солнце
2600	Воскресенье
2601	супермаркет
2602	поставлять
2603	поддерживать
2604	сторонник
2605	предполагать
2606	Конечно
2607	конечно
2608	поверхность
2609	операция
2610	сюрприз
2611	удивлен
2612	удивительный
2613	окружать
2614	окружающий
2615	опрос
2616	выживать
2617	подозревать
2618	ругаться
2619	свитер
2620	подметать
2621	сладкий
2622	плавать
2623	плавание
2624	выключатель
2625	символ
2626	сочувствие
2627	симптом
2628	система
2629	стол
2630	планшет
2631	хвост
2632	брать
2633	сказка
2634	талант
2635	талантливый
2636	разговаривать
2637	высокий
2638	бак
2639	лента
2640	цель
2641	задача
2642	вкус
2643	налог
2644	такси
2645	чай
2646	учить
2647	учитель
2648	обучение
2649	команда
2650	слеза1
2651	слеза2
2652	технический
2653	техника
2654	технологии
2655	подростковый
2656	подросток
2657	телефон
2658	телевидение
2659	сказать
2660	температура
2661	временный
2662	10
2663	иметь тенденцию
2664	большой теннис
2665	палатка
2666	срок
2667	ужасный
2668	тест
2669	текст
2670	чем
2671	благодарить
2672	Благодарность
2673	что
2674	в
2675	театр
2676	их
2677	их
2678	их
2679	тема
2680	сами себя
2681	тогда
2682	теория
2683	терапия
2684	там
2685	следовательно
2686	Oни
2687	толстый
2688	вор
2689	тонкий
2690	вещь
2691	считать
2692	мышление
2693	в третьих
2694	жаждущий
2695	тринадцать
2696	тридцать
2697	это
2698	хотя
2699	мысль
2700	тысяча
2701	угроза
2702	угрожать
2703	три
2704	горло
2705	через
2706	через
2707	бросать
2708	Четверг
2709	таким образом
2710	проездной билет
2711	аккуратный
2712	галстук
2713	тугой
2714	пока
2715	время
2716	банка
2717	крошечный
2718	кончик
2719	устала
2720	заглавие
2721	к
2722	Cегодня
2723	палец
2724	вместе
2725	туалет
2726	помидор
2727	завтра
2728	тон
2729	язык
2730	сегодня ночью
2731	слишком
2732	инструмент
2733	зуб
2734	Топ
2735	тема
2736	общий
2737	полностью
2738	трогать
2739	жесткий
2740	тур
2741	туризм
2742	турист
2743	в направлении
2744	полотенце
2745	башня
2746	городок
2747	игрушка
2748	отслеживать
2749	торговля
2750	традиция
2751	традиционный
2752	движение
2753	тренироваться
2754	тренер
2755	подготовка
2756	передача
2757	трансформировать
2758	переход
2759	перевести
2760	перевод
2761	транспорт
2762	путешествовать
2763	путешественница
2764	удовольствие
2765	лечение
2766	дерево
2767	тенденция
2768	пробный
2769	обманывать
2770	путешествие
2771	тропический
2772	беда
2773	брюки
2774	грузовая машина
2775	ПРАВДА
2776	действительно
2777	доверять
2778	правда
2779	пытаться
2780	Футболка
2781	трубка
2782	Вторник
2783	мелодия
2784	туннель
2785	повернуть
2786	Телевизор
2787	двенадцать
2788	20
2789	дважды
2790	близнец
2791	два
2792	тип
2793	типичный
2794	обычно
2795	шина
2796	уродливый
2797	в конечном счете
2798	зонтик
2799	неспособный
2800	дядя
2801	неудобный
2802	бессознательный
2803	под
2804	под землей
2805	понять
2806	понимание
2807	нижнее белье
2808	безработные
2809	безработица
2810	непредвиденный
2811	несправедливый
2812	К сожалению
2813	несчастный
2814	униформа
2815	союз
2816	уникальный
2817	Ед. изм
2818	объединенный
2819	вселенная
2820	Университет
2821	неизвестный
2822	пока не
2823	в отличие
2824	вряд ли
2825	ненужный
2826	неприятный
2827	до того как
2828	необычный
2829	вверх
2830	Обновить
2831	на
2832	верхний
2833	расстройство
2834	вверх по лестнице
2835	вверх
2836	городской
2837	побуждать
2838	нас
2839	использовать
2840	использовал
2841	использовал к
2842	полезный
2843	пользователь
2844	обычный
2845	обычно
2846	отпуск
2847	долина
2848	ценный
2849	ценность
2850	фургон
2851	разнообразие
2852	различный
2853	отличаться
2854	огромный
2855	овощ
2856	средство передвижения
2857	место проведения
2858	версия
2859	очень
2860	с помощью
2861	потерпевший
2862	победа
2863	видео
2864	Посмотреть
2865	зритель
2866	деревня
2867	насилие
2868	жестокий
2869	виртуальный
2870	вирус
2871	зрение
2872	посещать
2873	посетитель
2874	визуальный
2875	жизненно важный
2876	витамин
2877	голос
2878	объем
2879	волонтер
2880	голосование
2881	заработная плата
2882	ждать
2883	официант
2884	будить
2885	ходить
2886	стена
2887	хочу
2888	война
2889	тепло
2890	предупреждать
2891	предупреждение
2892	мыть
2893	мойка
2894	напрасно тратить
2895	смотреть
2896	вода
2897	волна
2898	путь
2899	мы
2900	слабый
2901	слабость
2902	богатство
2903	богатый
2904	оружие
2905	носить
2906	погода
2907	сеть
2908	Веб-сайт
2909	свадьба
2910	Среда
2911	неделя
2912	выходные дни
2913	взвешивать
2914	масса
2915	добро пожаловать
2916	Что ж
2917	запад
2918	вестерн
2919	мокрый
2920	какие
2921	что бы ни
2922	рулевое колесо
2923	когда
2924	когда бы ни
2925	куда
2926	тогда как
2927	где бы
2928	будь то
2929	который
2930	пока
2931	шепот
2932	белый
2933	кто
2934	весь
2935	кого
2936	чья
2937	Почему
2938	широкий
2939	широко
2940	жена
2941	дикий
2942	дикая природа
2943	будут
2944	готовый
2945	победить
2946	ветер1
2947	ветер2
2948	окно
2949	вино
2950	крыло
2951	победитель
2952	зима
2953	провод
2954	мудрый
2955	желание
2956	с
2957	в пределах
2958	без
2959	свидетель
2960	женщина
2961	удивляться
2962	замечательно
2963	древесина
2964	деревянный
2965	шерсть
2966	слово
2967	Работа
2968	рабочий
2969	работающий
2970	Мир
2971	Мировой
2972	волновался
2973	волноваться
2974	худший
2975	худший
2976	стоит
2977	бы
2978	ранить
2979	Вот это да
2980	сворачивать
2981	записывать
2982	писатель
2983	пишу
2984	написано
2985	неправильный
2986	площадка
2987	Да
2988	год
2989	желтый
2990	да
2991	вчерашний день
2992	пока что
2993	ты
2994	молодой
2995	ваш
2996	твой
2997	самим собой
2998	молодежь
2999	нуль
3000	зона
