señor	Palabras
2071	correcto
2072	adecuadamente
2073	propiedad
2074	propuesta
2075	proponer
2076	perspectiva
2077	proteger
2078	proteccion
2079	protesta
2080	orgulloso
2081	demostrar
2082	proveer
2083	psicólogo
2084	psicología
2085	pub
2086	público
2087	publicación
2088	publicar
2089	jalar
2090	castigar
2091	castigo
2092	alumno
2093	compra
2094	puro
2095	violeta
2096	objetivo
2097	buscar
2098	empujar
2099	poner
2100	calificación
2101	calificado
2102	calificar
2103	calidad
2104	cantidad
2105	cuarto
2106	reina
2107	pregunta
2108	cola
2109	rápido
2110	rápidamente
2111	tranquilo
2112	en silencio
2113	abandonar
2114	bastante
2115	cita
2116	cotizar
2117	carrera (competencia)
2118	raza (gente)
2119	carreras
2120	radio
2121	ferrocarril
2122	lluvia
2123	elevar
2124	rango
2125	rango
2126	rápido
2127	rápidamente
2128	extraño
2129	poco frecuentemente
2130	Velocidad
2131	bastante
2132	crudo
2133	alcanzar
2134	reaccionar
2135	reacción
2136	leer
2137	lector
2138	lectura
2139	Listo
2140	real
2141	realista
2142	la realidad
2143	darse cuenta
2144	De Verdad
2145	razón
2146	razonable
2147	recuerdo
2148	recibo
2149	recibir
2150	reciente
2151	recientemente
2152	recepción
2153	receta
2154	reconocer
2155	recomendar
2156	recomendación
2157	registro
2158	grabación
2159	recuperar
2160	reciclar
2161	rojo
2162	reducir
2163	reducción
2164	referirse
2165	referencia
2166	reflejar
2167	rechazar1
2168	respecto
2169	región
2170	regional
2171	Registrarse
2172	lamentar
2173	regular
2174	regularmente
2175	regulación
2176	rechazar
2177	relatar
2178	relacionado
2179	relación
2180	relación
2181	pariente
2182	relativamente
2183	relax
2184	relajado
2185	relajante
2186	liberar
2187	importante
2188	de confianza
2189	alivio
2190	religión
2191	religioso
2192	confiar
2193	permanecer
2194	observación
2195	recuerda
2196	recordar
2197	remoto
2198	retirar
2199	renta
2200	reparar
2201	repetir
2202	repetido
2203	reemplazar
2204	respuesta
2205	reporte
2206	reportero
2207	representar
2208	representante
2209	reputación
2210	solicitud
2211	requerir
2212	requisito
2213	rescate
2214	investigar
2215	investigador
2216	reserva
2217	reserva
2218	residente
2219	resistir
2220	resolver
2221	complejo
2222	recurso
2223	respeto
2224	responder
2225	respuesta
2226	responsabilidad
2227	responsable
2228	resto (parte restante)
2229	descansar (dormir/relajarse)
2230	restaurante
2231	resultado
2232	retener
2233	retirarse
2234	jubilado
2235	devolver
2236	revelar
2237	revisión
2238	revisar
2239	revolución
2240	premio
2241	ritmo
2242	arroz
2243	rico
2244	librar
2245	conducir
2246	Correcto
2247	anillo1
2248	anillo2
2249	elevar
2250	riesgo
2251	río
2252	la carretera
2253	robot
2254	roca (piedra)
2255	la música rock)
2256	role
2257	rodar
2258	romántico
2259	techo
2260	habitación
2261	raíz
2262	soga
2263	bruto
2264	redondo
2265	ruta
2266	rutina
2267	fila1
2268	real
2269	frotar
2270	goma
2271	basura
2272	brusco
2273	rugby
2274	regla
2275	correr
2276	corredor
2277	correr
2278	rural
2279	prisa
2280	triste
2281	desafortunadamente
2282	seguro
2283	la seguridad
2284	navegar
2285	navegación
2286	marinero
2287	ensalada
2288	salario
2289	rebaja
2290	sal
2291	mismo
2292	muestra
2293	arena
2294	emparedado
2295	satélite
2296	satisfecho
2297	satisfacer
2298	sábado
2299	salsa
2300	ahorrar
2301	ahorro
2302	decir
2303	escala
2304	escanear
2305	asustado
2306	aterrador
2307	escena
2308	calendario
2309	esquema
2310	escuela
2311	Ciencias
2312	científico
2313	científico
2314	puntaje
2315	grito
2316	pantalla
2317	guion
2318	escultura
2319	mar
2320	búsqueda
2321	temporada
2322	asiento
2323	segundo1 (siguiente después del primero)
2324	segundo1 (unidad de tiempo)
2325	secundario
2326	en segundo lugar
2327	secreto
2328	secretario
2329	sección
2330	sector
2331	seguro
2332	seguridad
2333	ver
2334	semilla
2335	buscar
2336	parecer
2337	Seleccione
2338	selección
2339	uno mismo
2340	vender
2341	enviar
2342	sénior
2343	sentido
2344	sensitivo
2345	sensible
2346	frase
2347	separado
2348	Septiembre
2349	secuencia
2350	serie
2351	serio
2352	en serio
2353	servidor
2354	atender
2355	Servicio
2356	sesión
2357	poner (poner)
2358	conjunto (grupo)
2359	ajuste
2360	asentarse
2361	Siete
2362	de diecisiete
2363	setenta
2364	varios
2365	severo
2366	sexo
2367	sexual
2368	sombra
2369	sombra
2370	sacudir
2371	deberá
2372	poco profundo
2373	verguenza
2374	forma
2375	Cuota
2376	agudo
2377	ella
2378	oveja
2379	sábana
2380	estante
2381	caparazón
2382	refugio
2383	cambio
2384	brillar
2385	brillante
2386	Embarcacion
2387	camisa
2388	choque
2389	conmocionado
2390	zapato
2391	disparar
2392	tiroteo
2393	tienda
2394	compras
2395	corto
2396	Disparo
2397	debería
2398	hombro
2399	grito
2400	mostrar
2401	ducha
2402	cerrado
2403	tímido
2404	enfermo
2405	lado
2406	visión
2407	señal
2408	señal
2409	importante
2410	significativamente
2411	silencio
2412	silencioso
2413	seda
2414	tonto
2415	plata
2416	similar
2417	semejanza
2418	similar
2419	simple
2420	simplemente
2421	ya que
2422	sincero
2423	cantar
2424	cantante
2425	cantando
2426	único
2427	pileta
2428	señor
2429	hermana
2430	sentar
2431	sitio
2432	situación
2433	seis
2434	dieciséis
2435	sesenta
2436	Talla
2437	esquí
2438	esquí
2439	habilidad
2440	piel
2441	falda
2442	cielo
2443	esclavo
2444	dormir
2445	rodaja
2446	deslizar
2447	leve
2448	levemente
2449	deslizar
2450	Pendiente
2451	lento
2452	despacio
2453	pequeña
2454	inteligente
2455	teléfono inteligente
2456	oler
2457	sonreír
2458	fumar
2459	de fumar
2460	suave
2461	serpiente
2462	nieve
2463	asi que
2464	jabón
2465	fútbol
2466	social
2467	sociedad
2468	calcetín
2469	suave
2470	software
2471	suelo
2472	solar
2473	soldado
2474	sólido
2475	solución
2476	resolver
2477	alguno
2478	alguien
2479	alguien
2480	alguna cosa
2481	algunas veces
2482	un poco
2483	en algún lugar
2484	hijo
2485	canción
2486	pronto
2487	perdón
2488	clasificar
2489	alma
2490	sonido
2491	sopa
2492	fuente
2493	sur
2494	meridional
2495	espacio
2496	hablar
2497	altavoz
2498	especial
2499	especialista
2500	especies
2501	específico
2502	específicamente
2503	discurso
2504	velocidad
2505	deletrear
2506	ortografía
2507	gastar
2508	gasto
2509	picante
2510	araña
2511	espíritu
2512	espiritual
2513	separar
2514	hablado
2515	patrocinador
2516	cuchara
2517	deporte
2518	lugar
2519	untado
2520	primavera
2521	cuadrado
2522	estable
2523	estadio
2524	personal
2525	escenario
2526	escalera
2527	estampilla
2528	pararse
2529	estándar
2530	estrella
2531	mirar fijamente
2532	comienzo
2533	estado
2534	declaración
2535	estación
2536	estadística
2537	estatua
2538	estado
2539	Quédate
2540	firme
2541	robar
2542	acero
2543	empinado
2544	paso
2545	pegar (empujar/fijar)
2546	palo (pedazo de madera)
2547	pegajoso
2548	tieso
2549	todavía
2550	Valores
2551	estómago
2552	piedra
2553	deténgase
2554	Tienda
2555	tormenta
2556	historia
2557	directo
2558	extraño
2559	extraño
2560	estrategia
2561	corriente
2562	calle
2563	fuerza
2564	estrés
2565	tramo
2566	estricto
2567	Huelga
2568	cuerda
2569	fuerte
2570	fuertemente
2571	estructura
2572	dificil
2573	alumno
2574	estudio
2575	estudiar
2576	cosas
2577	tonto
2578	estilo
2579	tema
2580	enviar
2581	sustancia
2582	triunfar
2583	éxito
2584	exitoso
2585	exitosamente
2586	tal
2587	repentino
2588	de repente
2589	sufrir
2590	azúcar
2591	sugerir
2592	sugerencia
2593	traje
2594	apropiado
2595	suma
2596	resumir
2597	resumen
2598	el verano
2599	sol
2600	Domingo
2601	supermercado
2602	suministro
2603	apoyo
2604	seguidor
2605	suponer
2606	Por supuesto
2607	seguramente
2608	superficie
2609	cirugía
2610	sorpresa
2611	sorprendido
2612	sorprendente
2613	rodear
2614	rodeando
2615	encuesta
2616	sobrevivir
2617	sospechar
2618	jurar
2619	suéter
2620	barrer
2621	dulce
2622	nadar
2623	natación
2624	cambiar
2625	símbolo
2626	compasión
2627	síntoma
2628	sistema
2629	mesa
2630	tableta
2631	cola
2632	tomar
2633	cuento
2634	talento
2635	talentoso
2636	hablar
2637	alto
2638	tanque
2639	cinta
2640	objetivo
2641	tarea
2642	gusto
2643	impuesto
2644	taxi
2645	té
2646	enseñar
2647	profesor
2648	enseñando
2649	equipo
2650	lágrima1
2651	lágrima2
2652	técnico
2653	técnica
2654	tecnología
2655	Adolescente
2656	adolescente
2657	teléfono
2658	televisión
2659	decir
2660	la temperatura
2661	temporario
2662	diez
2663	tender
2664	tenis
2665	tienda
2666	término
2667	horrible
2668	prueba
2669	texto
2670	que
2671	gracias
2672	Gracias
2673	que
2674	la
2675	teatro
2676	sus
2677	suyo
2678	a ellos
2679	tema
2680	ellos mismos
2681	después
2682	teoría
2683	terapia
2684	allá
2685	por lo tanto
2686	ellos
2687	grueso
2688	ladrón
2689	delgada
2690	cosa
2691	pensar
2692	pensando
2693	tercera
2694	sediento
2695	trece
2696	treinta
2697	este
2698	aunque
2699	pensamiento
2700	mil
2701	amenaza
2702	amenazar
2703	Tres
2704	garganta
2705	mediante
2706	a lo largo de
2707	lanzar
2708	jueves
2709	de este modo
2710	boleto
2711	ordenado
2712	Corbata
2713	apretado
2714	hasta
2715	tiempo
2716	estaño
2717	diminuto
2718	propina
2719	cansado
2720	título
2721	a
2722	Este Dia
2723	dedo del pie
2724	juntos
2725	inodoro
2726	tomate
2727	mañana
2728	tono
2729	lengua
2730	esta noche
2731	también
2732	herramienta
2733	diente
2734	parte superior
2735	tema
2736	total
2737	totalmente
2738	tocar
2739	pese
2740	recorrido
2741	turismo
2742	turista
2743	hacia
2744	toalla
2745	torre
2746	pueblo
2747	juguete
2748	pista
2749	comercio
2750	tradicion
2751	tradicional
2752	tráfico
2753	tren
2754	entrenador
2755	capacitación
2756	transferir
2757	transformar
2758	transición
2759	traducir
2760	traducción
2761	transporte
2762	viajar
2763	viajero
2764	tratar
2765	tratamiento
2766	árbol
2767	tendencia
2768	prueba
2769	truco
2770	viaje
2771	tropical
2772	problema
2773	pantalones
2774	camión
2775	CIERTO
2776	realmente
2777	confianza
2778	verdad
2779	probar
2780	Camiseta de manga corta
2781	tubo
2782	martes
2783	melodía
2784	túnel
2785	giro
2786	TELEVISOR
2787	doce
2788	veinte
2789	dos veces
2790	mellizo
2791	dos
2792	escribe
2793	típico
2794	típicamente
2795	neumático
2796	feo
2797	por último
2798	sombrilla
2799	incapaz
2800	tío
2801	incómodo
2802	inconsciente
2803	por debajo
2804	bajo tierra
2805	comprender
2806	comprensión
2807	ropa interior
2808	desempleados
2809	desempleo
2810	inesperado
2811	injusto
2812	desafortunadamente
2813	infeliz
2814	uniforme
2815	Unión
2816	único
2817	unidad
2818	unido
2819	universo
2820	Universidad
2821	desconocido
2822	a no ser que
2823	diferente a
2824	improbable
2825	innecesario
2826	desagradable
2827	Hasta que
2828	inusual
2829	arriba
2830	actualizar
2831	al
2832	superior
2833	decepcionado
2834	piso superior
2835	hacia arriba
2836	urbano
2837	urgir
2838	a nosotros
2839	usar
2840	usó
2841	solía hacerlo
2842	útil
2843	usuario
2844	habitual
2845	normalmente
2846	vacaciones
2847	Valle
2848	valioso
2849	valor
2850	camioneta
2851	variedad
2852	varios
2853	variar
2854	enorme
2855	verdura
2856	vehículo
2857	evento
2858	versión
2859	muy
2860	a través de
2861	víctima
2862	victoria
2863	video
2864	vista
2865	espectador
2866	aldea
2867	violencia
2868	violento
2869	virtual
2870	virus
2871	visión
2872	visitar
2873	visitante
2874	visual
2875	vital
2876	vitamina
2877	voz
2878	volumen
2879	voluntario
2880	votar
2881	salario
2882	Espere
2883	mozo
2884	despertarse
2885	caminar
2886	pared
2887	desear
2888	guerra
2889	cálido
2890	advertir
2891	advertencia
2892	lavar
2893	Lavado
2894	desperdicio
2895	reloj
2896	agua
2897	ola
2898	camino
2899	nosotros
2900	débil
2901	debilidad
2902	riqueza
2903	saludable
2904	arma
2905	tener puesto
2906	clima
2907	web
2908	sitio web
2909	boda
2910	miércoles
2911	semana
2912	fin de semana
2913	pesar
2914	peso
2915	bienvenidos
2916	bien
2917	Oeste
2918	occidental
2919	mojado
2920	qué
2921	lo que sea
2922	rueda
2923	cuando
2924	cuando sea
2925	dónde
2926	mientras
2927	lo que sea
2928	ya sea
2929	cual
2930	tiempo
2931	susurro
2932	blanco
2933	quién
2934	entero
2935	quién
2936	cuyo
2937	por qué
2938	amplio
2939	ampliamente
2940	esposa
2941	salvaje
2942	fauna silvestre
2943	voluntad
2944	deseoso
2945	victoria
2946	viento1
2947	viento2
2948	ventana
2949	vino
2950	ala
2951	ganador
2952	invierno
2953	cable
2954	sabio
2955	deseo
2956	con
2957	dentro de
2958	sin que
2959	testigo
2960	mujer
2961	preguntarse
2962	maravilloso
2963	madera
2964	de madera
2965	lana
2966	palabra
2967	trabajar
2968	trabajador
2969	laboral
2970	mundo
2971	en todo el mundo
2972	preocupado
2973	preocuparse
2974	peor
2975	el peor
2976	valor
2977	haría
2978	herida
2979	guau
2980	envolver
2981	escribe
2982	escritor
2983	escritura
2984	escrito
2985	equivocado
2986	yarda
2987	sí
2988	año
2989	amarillo
2990	sí
2991	el dia de ayer
2992	aún
2993	tú
2994	joven
2995	su
2996	tuya
2997	tú mismo
2998	juventud
2999	cero
3000	zona
