Sr	Wörter
1835	origin
1836	original
1837	originally
1838	other
1839	otherwise
1840	ought
1841	our
1842	unsere
1843	uns selbst
1844	aus
1845	Ergebnis
1846	draussen
1847	draußen
1848	äußere
1849	Gliederung
1850	außen
1851	Ofen
1852	Über
1853	gesamt
1854	verdanken
1855	besitzen
1856	Eigentümer
1857	Tempo
1858	Pack
1859	Paket
1860	Seite
1861	Schmerzen
1862	schmerzlich
1863	Farbe
1864	Maler
1865	Malerei
1866	Paar
1867	Palast
1868	blass
1869	Pfanne
1870	Tafel
1871	Hose
1872	Papier
1873	Absatz
1874	Elternteil
1875	Park
1876	Parken
1877	Parlament
1878	Teil
1879	Teilnehmer
1880	sich beteiligen
1881	besondere
1882	im Speziellen
1883	teilweise
1884	Partner
1885	Party
1886	passieren
1887	Passage
1888	Passagier
1889	Hingabe
1890	Reisepass
1891	vorbei an
1892	Weg
1893	Geduldig
1894	Muster
1895	Zahlen
1896	Zahlung
1897	Frieden
1898	friedlich
1899	Stift
1900	Bleistift
1901	Penny
1902	Rente1
1903	Personen
1904	Pfeffer
1905	pro
1906	Prozent
1907	Prozentsatz
1908	perfekt
1909	perfekt
1910	ausführen
1911	Leistung
1912	vielleicht
1913	Zeitraum
1914	dauerhaft
1915	Genehmigung
1916	erlauben
1917	Person
1918	persönlich
1919	Persönlichkeit
1920	persönlich
1921	Perspektive
1922	überreden
1923	Haustier
1924	Benzin
1925	Phase
1926	Phänomen
1927	Philosophie
1928	Telefon
1929	Foto
1930	Foto
1931	Fotograf
1932	Fotografie
1933	Phrase
1934	körperlich
1935	Physik
1936	Klavier
1937	wählen
1938	Bild
1939	Stück
1940	Schwein
1941	Haufen
1942	Pilot
1943	Stift
1944	rosa
1945	Rohr
1946	Tonhöhe
1947	Platz
1948	schmucklos
1949	planen
1950	Flugzeug
1951	Planet
1952	Planung
1953	Pflanze
1954	Plastik
1955	Teller
1956	Plattform
1957	abspielen
1958	Spieler
1959	angenehm
1960	bitte
1961	zufrieden
1962	Vergnügen
1963	eine Menge
1964	Handlung
1965	plus1
1966	Tasche
1967	Gedicht
1968	Dichter
1969	Poesie
1970	Punkt
1971	spitz
1972	Gift
1973	giftig
1974	Polizei
1975	Polizist
1976	Politik
1977	höflich
1978	politisch
1979	Politiker
1980	Politik
1981	Umweltverschmutzung
1982	Schwimmbad
1983	Arm
1984	Pop
1985	Beliebt
1986	Popularität
1987	Population
1988	Hafen
1989	Porträt
1990	Pose
1991	Position
1992	positiv
1993	besitzen
1994	Besitz
1995	Wahrscheinlichkeit
1996	möglich
1997	möglicherweise
1998	Post
1999	Poster
2000	Topf
2001	Kartoffel
2002	Potenzial
2003	Pfund
2004	gießen
2005	Armut
2006	Pulver
2007	Energie
2008	mächtig
2009	praktisch
2010	trainieren
2011	trainieren
2012	loben
2013	beten
2014	Gebet
2015	vorhersagen
2016	Vorhersage
2017	vorziehen
2018	schwanger
2019	Vorbereitung
2020	vorbereiten
2021	bereit
2022	Gegenwart
2023	gegenwärtig
2024	Präsentation
2025	bewahren
2026	Präsident
2027	Drücken Sie
2028	Druck
2029	so tun als ob
2030	hübsch
2031	verhindern
2032	früher
2033	bisher
2034	Preis
2035	Priester
2036	primär
2037	prim
2038	Prinz
2039	Prinzessin
2040	Prinzip
2041	drucken
2042	Drucker
2043	Drucken
2044	Priorität
2045	Gefängnis
2046	Häftling
2047	Privatsphäre
2048	Privatgelände
2049	Preis-
2050	wahrscheinlich
2051	Problem
2052	Verfahren
2053	Prozess
2054	produzieren
2055	Hersteller
2056	Produkt
2057	Produktion
2058	Beruf
2059	Fachmann
2060	Professor
2061	Profil
2062	profitieren
2063	Programm
2064	Programm
2065	Fortschritt
2066	Projekt
2067	versprechen
2068	fördern
2069	aussprechen
2070	nachweisen
2071	richtig
2072	richtig
2073	Eigentum
2074	Vorschlag
2075	vorschlagen
2076	Aussicht
2077	beschützen
2078	Schutz
2079	Protest
2080	stolz
2081	beweisen
2082	zur Verfügung stellen
2083	Psychologe
2084	Psychologie
2085	Kneipe
2086	Öffentlichkeit
2087	Veröffentlichung
2088	veröffentlichen
2089	ziehen
2090	bestrafen
2091	Bestrafung
2092	Schüler
2093	kaufen
2094	rein
2095	Violett
2096	Zweck
2097	verfolgen
2098	drücken
2099	stellen
2100	Qualifikation
2101	qualifiziert
2102	qualifizieren
2103	Qualität
2104	Anzahl
2105	Quartal
2106	Königin
2107	Frage
2108	Warteschlange
2109	schnell
2110	schnell
2111	ruhig
2112	ruhig
2113	Verlassen
2114	ziemlich
2115	Zitat
2116	zitieren
2117	Rennen (Wettkampf)
2118	Rasse (Menschen)
2119	Rennen
2120	Radio
2121	Eisenbahn
2122	Regen
2123	heben
2124	Angebot
2125	Rang
2126	schnell
2127	schnell
2128	Selten
2129	selten
2130	Bewertung
2131	eher
2132	roh
2133	erreichen
2134	reagieren
2135	Reaktion
2136	lesen
2137	Leser
2138	lesen
2139	bereit
2140	real
2141	realistisch
2142	Wirklichkeit
2143	realisieren
2144	Ja wirklich
2145	Grund
2146	angemessen
2147	abrufen
2148	Kassenbon
2149	erhalten
2150	jüngste
2151	in letzter Zeit
2152	Rezeption
2153	Rezept
2154	erkenne
2155	empfehlen
2156	Empfehlung
2157	Aufzeichnung
2158	Aufzeichnung
2159	genesen
2160	recyceln
2161	rot
2162	reduzieren
2163	die Ermäßigung
2164	verweisen
2165	Hinweis
2166	reflektieren
2167	ablehnen1
2168	betrachten
2169	Region
2170	regional
2171	registrieren
2172	Reue
2173	regulär
2174	regelmäßig
2175	Verordnung
2176	ablehnen
2177	betreffen
2178	verbunden
2179	Beziehung
2180	Beziehung
2181	relativ
2182	verhältnismäßig
2183	Entspannen Sie sich
2184	entspannt
2185	entspannend
2186	Veröffentlichung
2187	relevant
2188	zuverlässig
2189	Hilfe
2190	Religion
2191	religiös
2192	vertrauen
2193	bleiben übrig
2194	Anmerkung
2195	denken Sie daran
2196	erinnern
2197	Fernbedienung
2198	Löschen
2199	Miete
2200	Reparatur
2201	wiederholen
2202	wiederholt
2203	ersetzen
2204	Antwort
2205	Bericht
2206	Reporter
2207	vertreten
2208	Vertreter
2209	Ruf
2210	Anfrage
2211	benötigen
2212	Erfordernis
2213	Rettung
2214	Forschung
2215	Forscher
2216	Reservierung
2217	Reservieren
2218	Bewohner
2219	widerstehen
2220	beschließen
2221	Erholungsort
2222	Ressource
2223	Respekt
2224	antworten
2225	Antwort
2226	Verantwortung
2227	verantwortlich
2228	Rest (verbleibender Teil)
2229	ausruhen (schlafen/entspannen)
2230	Restaurant
2231	Ergebnis
2232	zuückbehalten
2233	ausscheiden
2234	im Ruhestand
2235	Rückkehr
2236	aufdecken
2237	Rezension
2238	überarbeiten
2239	Revolution
2240	belohnen
2241	Rhythmus
2242	Reis
2243	Reich
2244	loswerden
2245	Reiten
2246	Rechts
2247	Ring1
2248	Ring2
2249	Aufstieg
2250	Risiko
2251	Fluss
2252	Straße
2253	Roboter
2254	Felsstein)
2255	Rockmusik)
2256	Rolle
2257	rollen
2258	romantisch
2259	Dach
2260	Zimmer
2261	Wurzel
2262	Seil
2263	Rau
2264	runden
2265	Route
2266	Routine
2267	Reihe1
2268	königlich
2269	reiben
2270	Gummi
2271	Müll
2272	unhöflich
2273	Rugby
2274	Regel
2275	Lauf
2276	Läufer
2277	laufend
2278	ländlich
2279	sich beeilen
2280	traurig
2281	leider
2282	sicher
2283	Sicherheit
2284	Segel
2285	Segeln
2286	Seemann
2287	Salat
2288	Gehalt
2289	Verkauf
2290	Salz
2291	gleich
2292	Probe
2293	Sand
2294	Sandwich
2295	Satellit
2296	befriedigt
2297	erfüllen
2298	Samstag
2299	Soße
2300	sparen
2301	sparen
2302	sagen
2303	Skala
2304	Scan
2305	erschrocken
2306	gruselig
2307	Szene
2308	zeitlicher Ablauf
2309	planen
2310	Schule
2311	Wissenschaft
2312	wissenschaftlich
2313	Wissenschaftler
2314	Punktzahl
2315	Schrei
2316	Bildschirm
2317	Skript
2318	Skulptur
2319	Meer
2320	Suche
2321	Jahreszeit
2322	Sitz
2323	second1 (nächster nach dem ersten)
2324	Sekunde1 (Zeiteinheit)
2325	zweitrangig
2326	zweitens
2327	Geheimnis
2328	Sekretär
2329	Sektion
2330	Sektor
2331	sicher
2332	Sicherheit
2333	sehen
2334	Samen
2335	suchen
2336	erscheinen
2337	auswählen
2338	Auswahl
2339	selbst
2340	verkaufen
2341	senden
2342	Senior
2343	Sinn
2344	vernünftig
2345	empfindlich
2346	Satz
2347	getrennt
2348	September
2349	Reihenfolge
2350	Serie
2351	ernst
2352	Ernsthaft
2353	Knecht
2354	Dienen
2355	Service
2356	Sitzung
2357	setzen (setzen)
2358	einstellen (Gruppe)
2359	Einstellung
2360	siedeln
2361	Sieben
2362	siebzehn
2363	siebzig
2364	mehrere
2365	schwer
2366	Sex
2367	sexuell
2368	Schatten
2369	Schatten
2370	Shake
2371	soll
2372	seicht
2373	Schande
2374	Form
2375	Teilen
2376	Scharf
2377	sie
2378	Schaf
2379	Blech
2380	Regal
2381	Hülse
2382	Schutz
2383	Wechsel
2384	scheinen
2385	glänzend
2386	Schiff
2387	Shirt
2388	Schock
2389	schockiert
2390	Schuh
2391	schießen
2392	Schießen
2393	Geschäft
2394	Einkaufen
2395	kurz
2396	Schuss
2397	sollen
2398	Schulter
2399	schreien
2400	Show
2401	Dusche
2402	schließen
2403	schüchtern
2404	krank
2405	Seite
2406	Sicht
2407	Schild
2408	Signal
2409	von Bedeutung
2410	bedeutend
2411	Schweigen
2412	Leise
2413	Seide
2414	dumm
2415	Silber
2416	ähnlich
2417	Ähnlichkeit
2418	ähnlich
2419	einfach
2420	einfach
2421	seit
2422	aufrichtig
2423	singen
2424	Sänger
2425	Singen
2426	Single
2427	Waschbecken
2428	Herr
2429	Schwester
2430	mach Sitz
2431	Seite
2432	Lage
2433	sechs
2434	sechzehn
2435	sechzig
2436	Größe
2437	Ski
2438	Skifahren
2439	Können
2440	Haut
2441	Rock
2442	Himmel
2443	Sklave
2444	schlafen
2445	Scheibe
2446	gleiten
2447	leicht
2448	leicht
2449	Unterhose
2450	Neigung
2451	langsam
2452	langsam
2453	klein
2454	Clever
2455	Smartphone
2456	Geruch
2457	lächeln
2458	Rauch
2459	Rauchen
2460	glatt
2461	Schlange
2462	Schnee
2463	Also
2464	Seife
2465	Fußball
2466	Sozial
2467	Gesellschaft
2468	Socke
2469	Sanft
2470	Software
2471	Boden
2472	Solar-
2473	Soldat
2474	fest
2475	Lösung
2476	lösen
2477	etwas
2478	jemand
2479	jemand
2480	etwas
2481	manchmal
2482	etwas
2483	irgendwo
2484	Sohn
2485	Lied
2486	demnächst
2487	Verzeihung
2488	Sortieren
2489	Seele
2490	Klang
2491	Suppe
2492	Quelle
2493	Süden
2494	Süd-
2495	Platz
2496	sprechen
2497	Lautsprecher
2498	Besondere
2499	Spezialist
2500	Spezies
2501	Spezifisch
2502	speziell
2503	Rede
2504	Geschwindigkeit
2505	Fluch
2506	Rechtschreibung
2507	verbringen
2508	Ausgaben
2509	würzig
2510	Spinne
2511	Geist
2512	spirituell
2513	Teilt
2514	gesprochen
2515	Sponsor
2516	Löffel
2517	Sport
2518	Stelle
2519	Verbreitung
2520	Frühling
2521	Quadrat
2522	stabil
2523	Stadion
2524	Mitarbeiter
2525	Bühne
2526	Treppe
2527	Stempel
2528	Stand
2529	Standard
2530	Stern
2531	starren
2532	Anfang
2533	Zustand
2534	Aussage
2535	Bahnhof
2536	Statistik
2537	Statue
2538	Status
2539	bleibe
2540	stetig
2541	stehlen
2542	Stahl
2543	steil
2544	Schritt
2545	stecken (einstecken/anbringen)
2546	Stock (Holzstück)
2547	klebrig
2548	steif
2549	still
2550	Lager
2551	Magen
2552	Stein
2553	Pause
2554	Laden
2555	Sturm
2556	Geschichte
2557	gerade
2558	seltsam
2559	Fremder
2560	Strategie
2561	Strom
2562	Straße
2563	Stärke
2564	betonen
2565	strecken
2566	strikt
2567	schlagen
2568	Schnur
2569	stark
2570	stark
2571	Struktur
2572	Kampf
2573	Schüler
2574	Studio
2575	lernen
2576	Sachen
2577	dumm
2578	Stil
2579	Thema
2580	einreichen
2581	Substanz
2582	erfolgreich
2583	Erfolg
2584	erfolgreich
2585	erfolgreich
2586	eine solche
2587	plötzlich
2588	plötzlich
2589	leiden
2590	Zucker
2591	empfehlen
2592	Anregung
2593	passen
2594	geeignet
2595	Summe
2596	zusammenfassen
2597	Zusammenfassung
2598	Sommer
2599	Sonne
2600	Sonntag
2601	Supermarkt
2602	liefern
2603	Unterstützung
2604	Fan
2605	vermuten
2606	sicher
2607	sicherlich
2608	auftauchen
2609	Chirurgie
2610	Überraschung
2611	überrascht
2612	überraschend
2613	umgeben
2614	Umgebung
2615	Umfrage
2616	überleben
2617	vermuten
2618	schwören
2619	Pullover
2620	fegen
2621	süß
2622	schwimmen
2623	Baden
2624	Schalter
2625	Symbol
2626	Sympathie
2627	Symptom
2628	System
2629	Tisch
2630	Tablette
2631	Schwanz
2632	nehmen
2633	Geschichte
2634	Talent
2635	talentiert
2636	sich unterhalten
2637	hoch
2638	Panzer
2639	Band
2640	Ziel
2641	Aufgabe
2642	Geschmack
2643	MwSt
2644	Taxi
2645	Tee
2646	unterrichten
2647	Lehrer
2648	Lehren
2649	Mannschaft
2650	Träne1
2651	Träne2
2652	technisch
2653	Technik
2654	Technologie
2655	Teenager
2656	Teenager
2657	Telefon
2658	Fernsehen
2659	erzählen
2660	Temperatur
2661	vorübergehend
2662	zehn
2663	neigen
2664	Tennis
2665	Zelt
2666	Begriff
2667	abscheulich
2668	Prüfung
2669	Text
2670	als
2671	danken
2672	Danke
2673	das
2674	das
2675	Theater
2676	ihr
2677	ihre
2678	Sie
2679	Thema
2680	sich
2681	dann
2682	Theorie
2683	Therapie
2684	dort
2685	deshalb
2686	sie
2687	dick
2688	Dieb
2689	dünn
2690	Ding
2691	denken
2692	Denken
2693	dritte
2694	durstig
2695	dreizehn
2696	dreißig
2697	Dies
2698	obwohl
2699	Gedanke
2700	tausend
2701	Drohung
2702	drohen
2703	drei
2704	Kehle
2705	durch
2706	hindurch
2707	Wurf
2708	Donnerstag
2709	daher
2710	Fahrkarte
2711	ordentlich
2712	binden
2713	fest
2714	bis
2715	Zeit
2716	Zinn
2717	sehr klein
2718	Tipp
2719	müde
2720	Titel
2721	zu
2722	heute
2723	Zehe
2724	zusammen
2725	Toilette
2726	Tomate
2727	Morgen
2728	Ton
2729	Zunge
2730	heute Abend
2731	zu
2732	Werkzeug
2733	Zahn
2734	oben
2735	Thema
2736	gesamt
2737	total
2738	berühren
2739	hart
2740	Tour
2741	Tourismus
2742	Tourist
2743	gegenüber
2744	Handtuch
2745	Turm
2746	Stadt, Dorf
2747	Spielzeug
2748	Spur
2749	handeln
2750	Tradition
2751	traditionell
2752	Verkehr
2753	Zug
2754	Trainer
2755	Ausbildung
2756	Transfer
2757	verwandeln
2758	Überleitung
2759	Übersetzen
2760	Übersetzung
2761	Transport
2762	reisen
2763	Reisender
2764	behandeln
2765	Behandlung
2766	Baum
2767	Trend
2768	Studie
2769	Trick
2770	Reise
2771	tropisch
2772	Problem
2773	Hose
2774	LKW
2775	STIMMT
2776	wirklich
2777	vertrauen
2778	Wahrheit
2779	Versuchen
2780	T-Shirt
2781	Rohr
2782	Dienstag
2783	Melodie
2784	Tunnel
2785	drehen
2786	Fernseher
2787	zwölf
2788	zwanzig
2789	zweimal
2790	Zwilling
2791	zwei
2792	Typ
2793	typisch
2794	typisch
2795	Reifen
2796	hässlich
2797	letzten Endes
2798	Regenschirm
2799	unfähig
2800	Onkel
2801	unbequem
2802	unbewusst
2803	unter
2804	unter Tage
2805	verstehe
2806	Verständnis
2807	Unterwäsche
2808	arbeitslos
2809	Arbeitslosigkeit
2810	unerwartet
2811	unfair
2812	Unglücklicherweise
2813	unzufrieden
2814	Uniform
2815	Union
2816	einzigartig
2817	Einheit
2818	vereinigt
2819	Universum
2820	Universität
2821	Unbekannt
2822	wenn nicht
2823	nicht wie
2824	unwahrscheinlich
2825	nicht notwendig
2826	unangenehm
2827	bis um
2828	ungewöhnlich
2829	hoch
2830	aktualisieren
2831	auf
2832	Oberer, höher
2833	verärgern
2834	nach oben
2835	nach oben
2836	urban
2837	Drang
2838	uns
2839	verwenden
2840	Gebraucht
2841	gewöhnt an
2842	nützlich
2843	Benutzer
2844	üblich
2845	normalerweise
2846	Urlaub
2847	Senke
2848	wertvoll
2849	Wert
2850	Lieferwagen
2851	Vielfalt
2852	verschiedene
2853	variieren
2854	groß
2855	Gemüse
2856	Fahrzeug
2857	Veranstaltungsort
2858	Ausführung
2859	sehr
2860	über
2861	Opfer
2862	Sieg
2863	Video
2864	Aussicht
2865	Zuschauer
2866	Dorf
2867	Gewalt
2868	heftig
2869	virtuell
2870	Virus
2871	Vision
2872	Besuch
2873	Besucher
2874	visuell
2875	lebenswichtig
2876	Vitamin
2877	Stimme
2878	Volumen
2879	Freiwillige
2880	Abstimmung
2881	Lohn
2882	Warten
2883	Kellner
2884	aufwachen
2885	Spaziergang
2886	Mauer
2887	wollen
2888	Krieg
2889	warm
2890	warnen
2891	Warnung
2892	waschen
2893	Waschen
2894	Abfall
2895	Uhr
2896	Wasser
2897	Welle
2898	Weg
2899	wir
2900	schwach
2901	die Schwäche
2902	Vermögen
2903	reich
2904	Waffe
2905	tragen
2906	Wetter
2907	Netz
2908	Webseite
2909	Hochzeit
2910	Mittwoch
2911	Woche
2912	Wochenende
2913	wiegen
2914	Gewicht
2915	willkommen
2916	Gut
2917	Westen
2918	Western
2919	nass
2920	was
2921	wie auch immer
2922	Rad
2923	Wenn
2924	wann immer
2925	wo
2926	wohingegen
2927	wo auch immer
2928	ob
2929	die
2930	während
2931	flüstern
2932	Weiß
2933	wer
2934	ganz
2935	dem
2936	Deren
2937	warum
2938	breit
2939	weit
2940	Ehefrau
2941	wild
2942	Tierwelt
2943	Wille
2944	bereit
2945	gewinnen
2946	wind1
2947	wind2
2948	Fenster
2949	Wein
2950	Flügel
2951	Gewinner
2952	Winter
2953	Kabel
2954	weise
2955	Wunsch
2956	mit
2957	innerhalb
2958	ohne
2959	Zeuge
2960	Frau
2961	sich fragen
2962	wunderbar
2963	Holz
2964	hölzern
2965	wolle
2966	Wort
2967	Arbeit
2968	Arbeiter
2969	Arbeiten
2970	Welt
2971	weltweit
2972	besorgt
2973	Sorge
2974	schlechter
2975	schlechteste
2976	Wert
2977	möchten
2978	Wunde
2979	Beeindruckend
2980	wickeln
2981	schreiben
2982	Schriftsteller
2983	Schreiben
2984	geschrieben
2985	falsch
2986	Hof
2987	ja
2988	Jahr
2989	gelb
2990	Jawohl
2991	gestern
2992	noch
2993	Sie
2994	jung
2995	dein
2996	deine
2997	dich selbst
2998	Jugend
2999	Null
3000	Zone
