Sr	Palavras
2074	proposta
2075	propor
2076	perspectiva
2077	proteger
2078	proteção
2079	protesto
2080	orgulhoso
2081	provar
2082	providenciar
2083	psicólogo
2084	psicologia
2085	bar
2086	público
2087	publicação
2088	publicar
2089	puxar
2090	punir
2091	punição
2092	aluno
2093	comprar
2094	puro
2095	roxo
2096	propósito
2097	perseguir
2098	Empurre
2099	colocar
2100	qualificação
2101	qualificado
2102	qualificar
2103	qualidade
2104	quantidade
2105	trimestre
2106	rainha
2107	pergunta
2108	fila
2109	rápido
2110	rapidamente
2111	tranquilo
2112	silenciosamente
2113	Sair
2114	bastante
2115	cotação
2116	citar
2117	corrida (competição)
2118	raça (pessoas)
2119	corrida
2120	rádio
2121	estrada de ferro
2122	chuva
2123	levantar
2124	variar
2125	classificação
2126	rápido
2127	rapidamente
2128	cru
2129	raramente
2130	avaliar
2131	em vez de
2132	cru
2133	alcançar
2134	reagir
2135	reação
2136	ler
2137	leitor
2138	leitura
2139	pronto
2140	real
2141	realista
2142	realidade
2143	entender
2144	verdade
2145	razão
2146	razoável
2147	lembrar
2148	recibo
2149	receber
2150	recente
2151	recentemente
2152	recepção
2153	receita
2154	reconhecer
2155	recomendar
2156	recomendação
2157	registro
2158	gravação
2159	recuperar
2160	reciclar
2161	vermelho
2162	reduzir
2163	redução
2164	referir
2165	referência
2166	refletir
2167	recusar1
2168	que diz respeito
2169	região
2170	regional
2171	registro
2172	arrepender
2173	regular
2174	regularmente
2175	regulamento
2176	rejeitar
2177	relacionar
2178	relacionado
2179	relação
2180	relação
2181	relativo
2182	relativamente
2183	relaxar
2184	relaxado
2185	relaxante
2186	liberar
2187	relevante
2188	confiável
2189	alívio
2190	religião
2191	religioso
2192	confiar
2193	permanecer
2194	observação
2195	lembrar
2196	lembrar
2197	controlo remoto
2198	remover
2199	aluguel
2200	reparar
2201	repetir
2202	repetido
2203	substituir
2204	responder
2205	relatório
2206	repórter
2207	representar
2208	representante
2209	reputação
2210	solicitar
2211	exigir
2212	requerimento
2213	resgate
2214	pesquisar
2215	investigador
2216	reserva
2217	reserva
2218	residente
2219	resistir
2220	resolver
2221	recorrer
2222	recurso
2223	respeito
2224	responder
2225	resposta
2226	responsabilidade
2227	responsável
2228	resto (parte restante)
2229	descanso (dormir/relaxar)
2230	restaurante
2231	resultado
2232	reter
2233	se aposentar
2234	aposentado
2235	Retorna
2236	revelar
2237	Reveja
2238	rever
2239	revolução
2240	recompensa
2241	ritmo
2242	arroz
2243	rico
2244	livrar
2245	passeio
2246	certo
2247	anel1
2248	anel2
2249	subir
2250	risco
2251	rio
2252	estrada
2253	robô
2254	rocha (pedra)
2255	musica rock)
2256	Função
2257	lista
2258	romântico
2259	cobertura
2260	quarto
2261	raiz
2262	corda
2263	rude
2264	redondo
2265	rota
2266	rotina
2267	linha1
2268	real
2269	esfregar
2270	borracha
2271	bobagem
2272	rude
2273	rúgbi
2274	regra
2275	corre
2276	corredor
2277	corrida
2278	rural
2279	correr
2280	triste
2281	Infelizmente
2282	seguro
2283	segurança
2284	velejar
2285	Navegando
2286	marinheiro
2287	salada
2288	salário
2289	oferta
2290	sal
2291	mesmo
2292	amostra
2293	areia
2294	sanduíche
2295	satélite
2296	satisfeito
2297	satisfazer
2298	Sábado
2299	molho
2300	Salve 
2301	salvando
2302	dizer
2303	escala
2304	Varredura
2305	assustada
2306	apavorante
2307	cena
2308	cronograma
2309	esquema
2310	escola
2311	Ciência
2312	científico
2313	cientista
2314	pontuação
2315	gritar
2316	tela
2317	roteiro
2318	escultura
2319	mar
2320	procurar
2321	estação
2322	assento
2323	segundo1 (próximo após o primeiro)
2324	segundo1 (unidade de tempo)
2325	secundário
2326	em segundo lugar
2327	segredo
2328	secretário
2329	seção
2330	setor
2331	seguro
2332	segurança
2333	Vejo
2334	semente
2335	procurar
2336	parecer
2337	selecionar
2338	seleção
2339	auto
2340	vender
2341	mandar
2342	Senior
2343	senso
2344	sensato
2345	confidencial
2346	frase
2347	separado
2348	Setembro
2349	seqüência
2350	Series
2351	sério
2352	a sério
2353	servo
2354	servir
2355	serviço
2356	sessão
2357	definir (colocar)
2358	definir (grupo)
2359	contexto
2360	resolver
2361	Sete
2362	dezessete
2363	setenta
2364	de várias
2365	forte
2366	sexo
2367	sexual
2368	sombra
2369	sombra
2370	sacudir
2371	deve
2372	raso
2373	vergonha
2374	forma
2375	compartilhar
2376	afiado
2377	ela
2378	ovelha
2379	Folha
2380	prateleira
2381	Concha
2382	abrigo
2383	mudança
2384	brilhar
2385	brilhante
2386	navio
2387	camisa
2388	choque
2389	chocado
2390	sapato
2391	atirar
2392	filmagem
2393	fazer compras
2394	Shopping
2395	curto
2396	tomada
2397	deve
2398	ombro
2399	gritar
2400	mostrar
2401	banho
2402	fechar
2403	tímido
2404	doente
2405	lado
2406	visão
2407	sinal
2408	sinal
2409	significativo
2410	significativamente
2411	silêncio
2412	silencioso
2413	seda
2414	boba
2415	prata
2416	semelhante
2417	semelhança
2418	similarmente
2419	simples
2420	simplesmente
2421	desde
2422	sincero
2423	canta
2424	cantor
2425	cantando
2426	solteiro
2427	afundar
2428	Senhor
2429	irmã
2430	sentar
2431	local
2432	situação
2433	seis
2434	dezesseis
2435	sessenta
2436	Tamanho
2437	esqui
2438	esquiar
2439	habilidade
2440	pele
2441	saia
2442	céu
2443	escravo
2444	dorme
2445	fatiar
2446	deslizar
2447	pouco
2448	um pouco
2449	escorregar
2450	declive
2451	lento
2452	devagar
2453	pequena
2454	inteligente
2455	Smartphone
2456	cheiro
2457	sorriso
2458	fumaça
2459	fumar
2460	suave
2461	cobra
2462	neve
2463	assim
2464	sabão
2465	futebol
2466	social
2467	sociedade
2468	meia
2469	suave
2470	Programas
2471	solo
2472	solar
2473	soldado
2474	sólido
2475	solução
2476	resolver
2477	algum
2478	alguém
2479	alguém
2480	algo
2481	as vezes
2482	um pouco
2483	em algum lugar
2484	filho
2485	música
2486	em breve
2487	desculpe
2488	ordenar
2489	alma
2490	som
2491	sopa
2492	fonte
2493	sul
2494	sulista
2495	espaço
2496	falar
2497	palestrante
2498	especial
2499	especialista
2500	espécies
2501	específico
2502	especificamente
2503	Fala
2504	Rapidez
2505	soletrar
2506	ortografia
2507	gasta
2508	gastos
2509	apimentado
2510	aranha
2511	espírito
2512	espiritual
2513	dividir
2514	falada
2515	patrocinador
2516	colher
2517	esporte
2518	ver
2519	espalhar
2520	primavera
2521	quadrado
2522	estábulo
2523	estádio
2524	funcionários
2525	palco
2526	escada
2527	carimbo
2528	ficar
2529	padrão
2530	Estrela
2531	olhar fixamente
2532	começar
2533	Estado
2534	declaração
2535	estação
2536	estatística
2537	estátua
2538	status
2539	fique
2540	estável
2541	roubar
2542	aço
2543	íngreme
2544	degrau
2545	vara (empurrar/anexar)
2546	bastão (pedaço de madeira)
2547	pegajoso
2548	rígido
2549	ainda
2550	estoque
2551	estômago
2552	pedra
2553	Pare
2554	armazenar
2555	tempestade
2556	história
2557	direto
2558	estranho
2559	desconhecido
2560	estratégia
2561	fluxo
2562	rua
2563	força
2564	estresse
2565	esticar
2566	rigoroso
2567	ataque
2568	corda
2569	Forte
2570	fortemente
2571	estrutura
2572	luta
2573	aluna
2574	estúdio
2575	estudar
2576	material
2577	estúpido
2578	estilo
2579	sujeito
2580	enviar
2581	substância
2582	sucesso
2583	sucesso
2584	bem sucedido
2585	com sucesso
2586	tal
2587	repentino
2588	De repente
2589	Sofra
2590	açúcar
2591	sugerir
2592	sugestão
2593	Traje
2594	adequado
2595	soma
2596	resumir
2597	resumo
2598	verão
2599	Sol
2600	Domingo
2601	supermercado
2602	fornecer
2603	Apoio, suporte
2604	torcedor
2605	suponha
2606	claro
2607	certamente
2608	superfície
2609	cirurgia
2610	surpresa
2611	surpreso
2612	surpreendente
2613	cercar
2614	em torno da
2615	pesquisa
2616	sobreviver
2617	suspeito
2618	jurar
2619	suéter
2620	varrer
2621	doce
2622	nadar
2623	natação
2624	trocar
2625	símbolo
2626	simpatia
2627	sintoma
2628	sistema
2629	tabela
2630	tábua
2631	rabo
2632	leva
2633	conto
2634	talento
2635	talentoso
2636	conversa
2637	alta
2638	tanque
2639	fita
2640	alvo
2641	tarefa
2642	gosto
2643	imposto
2644	Táxi
2645	chá
2646	Ensinar
2647	professora
2648	ensino
2649	equipe
2650	lágrima1
2651	lágrima2
2652	técnico
2653	técnica
2654	tecnologia
2655	Adolescência
2656	adolescente
2657	Telefone
2658	televisão
2659	dizer
2660	temperatura
2661	temporário
2662	dez
2663	tratar
2664	tênis
2665	barraca
2666	prazo
2667	Terrível
2668	teste
2669	texto
2670	do que
2671	obrigado
2672	obrigado
2673	este
2674	a
2675	teatro
2676	seus
2677	deles
2678	eles
2679	tema
2680	eles mesmos
2681	então
2682	teoria
2683	terapia
2684	lá
2685	Portanto
2686	elas
2687	espesso
2688	Ladrão
2689	fino
2690	coisa
2691	acho
2692	pensamento
2693	terceiro
2694	com sede
2695	treze
2696	trinta
2697	isto
2698	no entanto
2699	pensamento
2700	mil
2701	ameaça
2702	ameaçar
2703	três
2704	garganta
2705	Através dos
2706	por todo
2707	lançar
2708	Quinta-feira
2709	portanto
2710	bilhete
2711	limpo
2712	gravata
2713	apertado
2714	até
2715	Tempo
2716	lata
2717	minúsculo
2718	gorjeta
2719	cansado
2720	título
2721	para
2722	hoje
2723	dedo do pé
2724	juntos
2725	banheiro
2726	tomate
2727	amanhã
2728	tom
2729	língua
2730	esta noite
2731	também
2732	ferramenta
2733	dente
2734	topo
2735	tema
2736	total
2737	totalmente
2738	toque
2739	difícil
2740	Tour
2741	turismo
2742	turista
2743	em direção
2744	toalha
2745	torre
2746	Cidade
2747	brinquedo
2748	acompanhar
2749	troca
2750	tradição
2751	tradicional
2752	tráfego
2753	Comboio
2754	treinador
2755	Treinamento
2756	transferir
2757	transformar
2758	transição
2759	traduzir
2760	tradução
2761	transporte
2762	viagem
2763	viajante
2764	tratar
2765	tratamento
2766	árvore
2767	tendência
2768	tentativas
2769	truque
2770	viagem
2771	tropical
2772	problema
2773	calças
2774	caminhão
2775	VERDADE
2776	verdadeiramente
2777	Confiar em
2778	verdade
2779	tentar
2780	Camiseta
2781	tubo
2782	Terça-feira
2783	afinação
2784	túnel
2785	virar
2786	televisão
2787	doze
2788	vinte
2789	duas vezes
2790	gêmeo
2791	dois
2792	modelo
2793	típica
2794	tipicamente
2795	pneu
2796	feio
2797	em última análise
2798	guarda-chuva
2799	impossível
2800	tio
2801	desconfortável
2802	inconsciente
2803	debaixo
2804	subterrâneo
2805	Compreendo
2806	compreensão
2807	roupa de baixo
2808	desempregado
2809	desemprego
2810	inesperado
2811	Injusto
2812	infelizmente
2813	infeliz
2814	uniforme
2815	União
2816	único
2817	unidade
2818	Unidos
2819	universo
2820	universidade
2821	desconhecido
2822	a não ser que
2823	diferente
2824	improvável
2825	desnecessário
2826	desagradável
2827	até
2828	incomum
2829	acima
2830	atualizar
2831	sobre
2832	superior
2833	chateado
2834	andar de cima
2835	para cima
2836	urbano
2837	impulso
2838	nós
2839	usar
2840	usado
2841	costumava ser
2842	útil
2843	do utilizador
2844	habitual
2845	usualmente
2846	período de férias
2847	vale
2848	de valor
2849	valor
2850	furgão
2851	variedade
2852	vários
2853	variar
2854	grande
2855	vegetal
2856	veículo
2857	local
2858	versão
2859	muito
2860	através da
2861	vítima
2862	vitória
2863	vídeo
2864	Visão
2865	visualizador
2866	Vila
2867	violência
2868	violento
2869	virtual
2870	vírus
2871	visão
2872	Visita
2873	Visitante
2874	visual
2875	vital
2876	Vitamina
2877	voz
2878	volume
2879	voluntário
2880	voto
2881	remuneração
2882	esperar
2883	garçom
2884	acordar
2885	andar
2886	muro
2887	querer
2888	guerra
2889	caloroso
2890	avisar
2891	aviso
2892	lavagem
2893	lavando
2894	desperdício
2895	ver
2896	agua
2897	aceno
2898	caminho
2899	nós
2900	fraco
2901	fraqueza
2902	fortuna
2903	próspero
2904	arma
2905	vestem
2906	tempo
2907	rede
2908	local na rede Internet
2909	Casamento
2910	Quarta-feira
2911	semana
2912	fim de semana
2913	pesar
2914	peso
2915	Bem-vindo
2916	Nós vamos
2917	oeste
2918	ocidental
2919	molhado
2920	o que
2921	qualquer que seja
2922	roda
2923	quando
2924	em qualquer momento
2925	Onde
2926	enquanto
2927	onde quer que
2928	se
2929	que
2930	enquanto
2931	sussurrar
2932	branco
2933	quem
2934	todo
2935	o qual
2936	de quem
2937	Por quê
2938	largo
2939	largamente
2940	esposa
2941	selvagem
2942	animais selvagens
2943	vai
2944	disposto
2945	ganhar
2946	vento1
2947	vento2
2948	janela
2949	vinho
2950	asa
2951	vencedora
2952	inverno
2953	arame
2954	sábio
2955	desejar
2956	com
2957	dentro de
2958	sem
2959	testemunha
2960	mulher
2961	maravilha
2962	Maravilhoso
2963	madeira
2964	de madeira
2965	lã
2966	palavra
2967	trabalhar
2968	trabalhador
2969	trabalhando
2970	mundo
2971	no mundo todo
2972	preocupado
2973	preocupar
2974	pior
2975	pior
2976	que vale a pena
2977	gostaria
2978	ferimento
2979	uau
2980	enrolar
2981	Escreva
2982	escritor
2983	escrita
2984	escrito
2985	errado
2986	Jardim
2987	sim
2988	ano
2989	amarelo
2990	sim
2991	ontem
2992	ainda
2993	vocês
2994	jovem
2995	sua
2996	Sua
2997	você mesma
2998	juventude
2999	zero
3000	zona
