Sr	Slova
1983	chudý
1984	pop
1985	populární
1986	popularita
1987	počet obyvatel
1988	přístav
1989	portrét
1990	póza
1991	pozice
1992	pozitivní
1993	mít
1994	majetek
1995	možnost
1996	možný
1997	možná
1998	pošta
1999	plakát
2000	hrnec
2001	brambor
2002	potenciál
2003	libra
2004	nalévat
2005	chudoba
2006	prášek
2007	Napájení
2008	silný
2009	praktický
2010	praxe
2011	praxe
2012	Chvála
2013	modlit se
2014	modlitba
2015	předpovědět
2016	předpověď
2017	preferovat
2018	těhotná
2019	příprava
2020	připravit
2021	připravený
2022	přítomnost
2023	současnost, dárek
2024	prezentace
2025	zachovat
2026	prezident
2027	lis
2028	tlak
2029	předstírat
2030	pěkný
2031	zabránit
2032	předchozí
2033	dříve
2034	cena
2035	kněz
2036	hlavní
2037	primární
2038	princ
2039	princezna
2040	zásada
2041	tisk
2042	tiskárna
2043	tisk
2044	přednost
2045	vězení
2046	vězeň
2047	Soukromí
2048	soukromé
2049	cena
2050	pravděpodobně
2051	problém
2052	postup
2053	proces
2054	vyrobit
2055	výrobce
2056	produkt
2057	Výroba
2058	profese
2059	profesionální
2060	profesor
2061	profil
2062	zisk
2063	program
2064	program
2065	pokrok
2066	projekt
2067	slib
2068	podporovat
2069	vyslovit
2070	důkaz
2071	správné
2072	správně
2073	vlastnictví
2074	návrh
2075	navrhnout
2076	vyhlídka
2077	chránit
2078	ochrana
2079	protest
2080	hrdý
2081	dokázat
2082	poskytnout
2083	psycholog
2084	psychologie
2085	hospoda
2086	veřejnost
2087	vydání
2088	publikovat
2089	SEM
2090	potrestat
2091	trest
2092	žák
2093	nákup
2094	čistý
2095	nachový
2096	účel
2097	pronásledovat
2098	TLAČIT
2099	dát
2100	kvalifikace
2101	kvalifikovaný
2102	kvalifikovat
2103	kvalitní
2104	Množství
2105	čtvrťák
2106	královna
2107	otázka
2108	fronta
2109	rychlý
2110	rychle
2111	klid
2112	tiše
2113	přestat
2114	docela
2115	citát
2116	citát
2117	závod (soutěž)
2118	rasa (lidé)
2119	závodění
2120	rádio
2121	železnice
2122	déšť
2123	vyzdvihnout
2124	rozsah
2125	hodnost
2126	rychlý
2127	rychle
2128	vzácný
2129	zřídka
2130	hodnotit
2131	spíše
2132	drsný
2133	dosáhnout
2134	reagovat
2135	reakce
2136	číst
2137	čtenář
2138	čtení
2139	připraveno
2140	nemovitý
2141	realistický
2142	realita
2143	uvědomit si
2144	opravdu
2145	důvod
2146	rozumné
2147	odvolání
2148	účtenka
2149	dostávat
2150	nedávné
2151	nedávno
2152	recepce
2153	recept
2154	uznat
2155	doporučit
2156	doporučení
2157	záznam
2158	záznam
2159	zotavit se
2160	recyklovat
2161	Červené
2162	snížit
2163	snížení
2164	odkazovat
2165	odkaz
2166	odrážet
2167	odmítnout 1
2168	považovat
2169	kraj
2170	regionální
2171	Registrovat
2172	litovat
2173	pravidelný
2174	pravidelně
2175	nařízení
2176	odmítnout
2177	vztahovat
2178	příbuzný
2179	vztah
2180	vztah
2181	relativní
2182	poměrně
2183	relaxovat
2184	uvolněný
2185	relaxační
2186	uvolnění
2187	relevantní
2188	spolehlivý
2189	úleva
2190	náboženství
2191	náboženský
2192	spolehnout se
2193	zůstat
2194	Poznámka
2195	zapamatovat si
2196	připomenout
2197	dálkový
2198	odstranit
2199	pronajmout si
2200	opravit
2201	opakovat
2202	opakoval
2203	nahradit
2204	odpověď
2205	zpráva
2206	zpravodaj
2207	zastupovat
2208	zástupce
2209	pověst
2210	žádost
2211	vyžadovat
2212	požadavek
2213	zachránit
2214	výzkum
2215	výzkumník
2216	rezervace
2217	rezervovat
2218	rezident
2219	odolat
2220	odhodlání
2221	letovisko
2222	zdroj
2223	úcta
2224	reagovat
2225	Odezva
2226	odpovědnost
2227	odpovědný
2228	odpočinek (zbývající část)
2229	odpočinek (spánek/relax)
2230	restaurace
2231	výsledek
2232	zachovat
2233	odejít
2234	v důchodu
2235	vrátit se
2236	odhalit
2237	Posouzení
2238	revidovat
2239	revoluce
2240	odměna
2241	rytmus
2242	rýže
2243	bohatý
2244	zbavit
2245	jezdit
2246	že jo
2247	prsten1
2248	prsten 2
2249	stoupat
2250	riziko
2251	řeka
2252	silnice
2253	robot
2254	kámen (kámen)
2255	rocková hudba)
2256	role
2257	válec
2258	romantický
2259	střecha
2260	pokoj, místnost
2261	vykořenit
2262	lano
2263	hrubý
2264	kolo
2265	trasa
2266	rutina
2267	řádek1
2268	královský
2269	třít
2270	pryž
2271	odpadky
2272	hrubý
2273	ragby
2274	pravidlo
2275	běh
2276	běžec
2277	běh
2278	venkovský
2279	spěch
2280	smutný
2281	bohužel
2282	bezpečný
2283	bezpečnost
2284	plachta
2285	plachtění
2286	námořník
2287	salát
2288	plat
2289	Prodej
2290	sůl
2291	stejný
2292	vzorek
2293	písek
2294	sendvič
2295	satelit
2296	spokojený
2297	uspokojit
2298	sobota
2299	omáčka
2300	Uložit
2301	úspora
2302	říci
2303	měřítko
2304	skenovat
2305	vyděšený
2306	děsivý
2307	scéna
2308	plán
2309	systém
2310	škola
2311	Věda
2312	vědecký
2313	vědec
2314	skóre
2315	výkřik
2316	obrazovka
2317	skript
2318	sochařství
2319	moře
2320	Vyhledávání
2321	sezóna
2322	sedadlo
2323	druhý1 (další po prvním)
2324	sekunda1 (časová jednotka)
2325	sekundární
2326	za druhé
2327	tajný
2328	tajemník
2329	sekce
2330	sektor
2331	zajistit
2332	bezpečnostní
2333	vidět
2334	semínko
2335	hledat
2336	zdát se
2337	vybrat
2338	výběr
2339	já
2340	prodat
2341	poslat
2342	senior
2343	smysl
2344	rozumný
2345	citlivý
2346	věta
2347	samostatný
2348	září
2349	sekvence
2350	série
2351	vážné
2352	vážně
2353	služebník
2354	sloužit
2355	servis
2356	zasedání
2357	nastavit (dát)
2358	sada (skupina)
2359	nastavení
2360	usadit
2361	sedm
2362	sedmnáct
2363	sedmdesát
2364	několik
2365	těžké
2366	sex
2367	sexuální
2368	odstín
2369	stín
2370	otřást
2371	musí
2372	mělký
2373	ostuda
2374	tvar
2375	podíl
2376	ostrý
2377	ona
2378	ovce
2379	prostěradlo
2380	police
2381	skořápka
2382	přístřeší
2383	posun
2384	lesk
2385	lesklý
2386	loď
2387	košile
2388	šokovat
2389	šokován
2390	bota
2391	střílet
2392	Střílení
2393	prodejna
2394	nakupování
2395	krátký
2396	výstřel
2397	by měl
2398	rameno
2399	křičet
2400	ukázat
2401	sprcha
2402	zavřít
2403	plachý
2404	nemocný
2405	postranní
2406	pohled
2407	podepsat
2408	signál
2409	významný
2410	výrazně
2411	umlčet
2412	tichý
2413	hedvábí
2414	hloupý
2415	stříbrný
2416	podobný
2417	podobnost
2418	podobně
2419	jednoduchý
2420	jednoduše
2421	od té doby
2422	upřímný
2423	zpívat
2424	zpěvák
2425	zpěv
2426	singl
2427	dřez
2428	Vážený pane
2429	sestra
2430	sedět
2431	místo
2432	situace
2433	šest
2434	šestnáct
2435	šedesát
2436	velikost
2437	lyže
2438	lyžování
2439	dovednost
2440	kůže
2441	sukně
2442	nebe
2443	otrok
2444	spát
2445	plátek
2446	skluzavka
2447	nepatrný
2448	mírně
2449	uklouznutí
2450	sklon
2451	pomalý
2452	pomalu
2453	malý
2454	chytrý
2455	chytrý telefon
2456	čich
2457	úsměv
2458	kouř
2459	kouření
2460	hladký
2461	had
2462	sníh
2463	tak
2464	mýdlo
2465	fotbal
2466	sociální
2467	společnost
2468	ponožka
2469	měkký
2470	software
2471	půda
2472	sluneční
2473	voják
2474	pevný
2475	řešení
2476	řešit
2477	nějaký
2478	někdo
2479	někdo
2480	něco
2481	někdy
2482	poněkud
2483	někde
2484	syn
2485	píseň
2486	již brzy
2487	Promiňte
2488	seřadit
2489	duše
2490	zvuk
2491	polévka
2492	zdroj
2493	jižní
2494	jižní
2495	prostor
2496	mluvit
2497	mluvčí
2498	speciální
2499	specialista
2500	druh
2501	charakteristický
2502	konkrétně
2503	mluvený projev
2504	Rychlost
2505	hláskovat
2506	pravopis
2507	strávit
2508	utrácení
2509	pikantní
2510	pavouk
2511	duch
2512	duchovní
2513	rozdělit
2514	mluvený
2515	sponzor
2516	lžíce
2517	sport
2518	bod
2519	šíření
2520	jaro
2521	náměstí
2522	stabilní
2523	stadión
2524	personál
2525	etapa
2526	schodiště
2527	razítko
2528	vydržet
2529	Standard
2530	hvězda
2531	upřený pohled
2532	Start
2533	Stát
2534	tvrzení
2535	stanice
2536	statistický
2537	socha
2538	postavení
2539	pobyt
2540	stabilní
2541	ukrást
2542	ocel
2543	strmé
2544	krok
2545	přilepit (zasunout/připevnit)
2546	hůl (kus dřeva)
2547	lepkavý
2548	tuhý
2549	ještě pořád
2550	skladem
2551	žaludek
2552	kámen
2553	stop
2554	ukládat
2555	bouřka
2556	příběh
2557	rovný
2558	zvláštní
2559	cizinec
2560	strategie
2561	proud
2562	ulice
2563	síla
2564	stres
2565	protáhnout se
2566	přísný
2567	stávkovat
2568	tětiva
2569	silný
2570	silně
2571	struktura
2572	boj
2573	student
2574	studio
2575	studie
2576	věci
2577	hloupý
2578	styl
2579	předmět
2580	Předložit
2581	látka
2582	povést se
2583	úspěch
2584	úspěšný
2585	úspěšně
2586	takový
2587	náhlý
2588	náhle
2589	trpět
2590	cukr
2591	navrhnout
2592	návrh
2593	oblek
2594	vhodný
2595	součet
2596	shrnout
2597	souhrn
2598	léto
2599	slunce
2600	Neděle
2601	supermarket
2602	zásobování
2603	Podpěra, podpora
2604	podporovatel
2605	předpokládat
2606	Tak určitě
2607	jistě
2608	povrch
2609	chirurgická operace
2610	překvapení
2611	překvapený
2612	překvapující
2613	obklopit
2614	okolní
2615	průzkum
2616	přežít
2617	tušit
2618	přísahat
2619	svetr
2620	zametat
2621	bonbón
2622	plavat
2623	plavání
2624	přepínač
2625	symbol
2626	sympatie
2627	symptom
2628	Systém
2629	stůl
2630	tableta
2631	ocas
2632	vzít
2633	příběh
2634	talent
2635	talentovaný
2636	mluvit
2637	vysoký
2638	nádrž
2639	páska
2640	cílová
2641	úkol
2642	chuť
2643	daň
2644	taxi
2645	čaj
2646	učit
2647	učitel
2648	výuka
2649	tým
2650	slza1
2651	slza2
2652	technický
2653	technika
2654	technika
2655	dospívající
2656	teenager
2657	telefon
2658	televize
2659	sdělit
2660	teplota
2661	dočasný
2662	deset
2663	inklinovat
2664	tenis
2665	stan
2666	období
2667	hrozný
2668	test
2669	text
2670	než
2671	poděkovat
2672	dík
2673	že
2674	a
2675	divadlo
2676	jejich
2677	jejich
2678	jim
2679	téma
2680	oni sami
2681	pak
2682	teorie
2683	terapie
2684	tam
2685	proto
2686	ony
2687	tlustý
2688	zloděj
2689	tenký
2690	věc
2691	myslet si
2692	myslící
2693	Třetí
2694	žíznivý
2695	třináct
2696	třicet
2697	tento
2698	ačkoli
2699	myslel
2700	tisíc
2701	ohrožení
2702	vyhrožovat
2703	tři
2704	hrdlo
2705	přes
2706	po celou dobu
2707	házet
2708	Čtvrtek
2709	tím pádem
2710	lístek
2711	uklidit
2712	kravata
2713	těsný
2714	až do
2715	čas
2716	cín
2717	drobný
2718	spropitné
2719	unavený
2720	titul
2721	na
2722	dnes
2723	prst
2724	spolu
2725	toaleta
2726	rajče
2727	zítra
2728	tón
2729	jazyk
2730	dnes večer
2731	také
2732	nástroj
2733	zub
2734	horní
2735	téma
2736	celkový
2737	naprosto
2738	dotek
2739	tvrdý
2740	prohlídka
2741	cestovní ruch
2742	turista
2743	vůči
2744	ručník
2745	věž
2746	město
2747	hračka
2748	dráha
2749	obchod
2750	tradice
2751	tradiční
2752	provoz
2753	vlak
2754	trenér
2755	výcvik
2756	převod
2757	přeměnit
2758	přechod
2759	přeložit
2760	překlad
2761	doprava
2762	cestovat
2763	cestovatel
2764	zacházet
2765	léčba
2766	strom
2767	trend
2768	soud
2769	trik
2770	výlet
2771	tropický
2772	problémy
2773	kalhoty
2774	nákladní auto
2775	SKUTEČNÝ
2776	skutečně
2777	důvěra
2778	pravda
2779	Snaž se
2780	tričko
2781	trubka
2782	úterý
2783	naladit
2784	tunel
2785	otočit se
2786	televize
2787	dvanáct
2788	dvacet
2789	dvakrát
2790	dvojče
2791	dva
2792	typ
2793	typický
2794	typicky
2795	pneumatika
2796	škaredý
2797	nakonec
2798	deštník
2799	neschopný
2800	strýc
2801	nepříjemný
2802	nevědomý
2803	pod
2804	podzemí
2805	rozumět
2806	porozumění
2807	spodní prádlo
2808	bez práce
2809	nezaměstnanost
2810	neočekávané
2811	nespravedlivé
2812	bohužel
2813	nešťastný
2814	jednotný
2815	unie
2816	unikátní
2817	jednotka
2818	sjednocený
2819	vesmír
2820	univerzita
2821	neznámý
2822	ledaže
2823	na rozdíl od
2824	nepravděpodobné
2825	zbytečné
2826	nepříjemný
2827	dokud
2828	neobvyklý
2829	nahoru
2830	Aktualizace
2831	na
2832	horní
2833	naštvaný
2834	nahoru po schodech
2835	nahoru
2836	městský
2837	nutkání
2838	nás
2839	použití
2840	použitý
2841	zvyklý
2842	užitečný
2843	uživatel
2844	obvyklý
2845	obvykle
2846	dovolená
2847	údolí
2848	cenný
2849	hodnota
2850	dodávka
2851	odrůda
2852	rozličný
2853	lišit se
2854	rozlehlý
2855	zeleniny
2856	vozidlo
2857	místo
2858	verze
2859	velmi
2860	přes
2861	oběť
2862	vítězství
2863	video
2864	Pohled
2865	divák
2866	vesnice
2867	násilí
2868	násilný
2869	virtuální
2870	virus
2871	vidění
2872	návštěva
2873	návštěvník
2874	vizuální
2875	vitální
2876	vitamín
2877	hlas
2878	hlasitost
2879	dobrovolník
2880	hlasování
2881	mzda
2882	Počkejte
2883	číšník
2884	probudit
2885	Procházka
2886	stěna
2887	chtít
2888	válka
2889	teplý
2890	varovat
2891	Varování
2892	umýt
2893	mytí
2894	odpad
2895	hodinky
2896	voda
2897	mávat
2898	způsob
2899	my
2900	slabý
2901	slabost
2902	bohatství
2903	bohatý
2904	zbraň
2905	mít na sobě
2906	počasí
2907	web
2908	webová stránka
2909	svatba
2910	středa
2911	týden
2912	víkend
2913	vážit
2914	hmotnost
2915	Vítejte
2916	studna
2917	Západ
2918	západní
2919	mokré
2920	co
2921	To je jedno
2922	kolo
2923	když
2924	kdykoli
2925	kde
2926	zatímco
2927	kdekoli
2928	zda
2929	který
2930	zatímco
2931	šepot
2932	bílý
2933	SZO
2934	Celý
2935	koho
2936	jehož
2937	proč
2938	široký
2939	široce
2940	manželka
2941	divoký
2942	divoká zvěř
2943	vůle
2944	ochotný
2945	vyhrát
2946	vítr1
2947	vítr2
2948	okno
2949	víno
2950	křídlo
2951	vítěz
2952	zima
2953	drát
2954	moudrý
2955	přát si
2956	s
2957	v rámci
2958	bez
2959	svědek
2960	žena
2961	divit se
2962	Báječné
2963	dřevo
2964	dřevěný
2965	vlna
2966	slovo
2967	práce
2968	pracovník
2969	pracovní
2970	svět
2971	celosvětově
2972	ustaraný
2973	trápit se
2974	horší
2975	nejhorší
2976	hodnota
2977	bych
2978	rána
2979	Páni
2980	zabalit
2981	napsat
2982	spisovatel
2983	psaní
2984	psaný
2985	špatně
2986	yard
2987	to jo
2988	rok
2989	žlutá
2990	Ano
2991	včera
2992	dosud
2993	vy
2994	Mladá
2995	vaše
2996	vaše
2997	vy sám
2998	mládí
2999	nula
3000	zóna
